"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.826510626862422,4.79337711752939,13.3694971800253,16.0381589273332,21.9122012275716,27.3949678722306,15.3884258860524,18.1327701354623,8.49129996068471,26.2856801826739,23.8697110113089,26.5562058274977
"conf_green",0.826510626862422,0,5.61988774439181,14.1960078068877,16.8646695541956,22.738711854434,28.2214784990931,14.56191525919,17.3062595085998,7.66478933382229,25.4591695558115,23.0432003844465,25.7296952006352
"conf_red",4.79337711752939,5.61988774439181,0,8.57612006249587,11.2447818098038,17.1188241100422,22.6015907547012,20.1818030035818,22.9261472529917,13.2846770782141,31.0790573002033,28.6630881288383,31.349582945027
"fusion_blue",13.3694971800253,14.1960078068877,8.57612006249587,0,2.66866174730792,8.54270404754634,14.0254706922054,28.7579230660777,31.5022673154875,21.86079714071,39.6551773626992,37.2392081913342,39.9257030075229
"fusion_green",16.0381589273332,16.8646695541956,11.2447818098038,2.66866174730792,0,5.87404230023841,11.3568089448974,31.4265848133856,34.1709290627955,24.5294588880179,42.3238391100071,39.9078699386421,42.5943647548308
"fusion_red",21.9122012275716,22.738711854434,17.1188241100422,8.54270404754634,5.87404230023841,0,5.48276664465903,37.300627113624,40.0449713630339,30.4035011882563,48.1978814102455,45.7819122388805,48.4684070550693
"FV_blue",27.3949678722306,28.2214784990931,22.6015907547012,14.0254706922054,11.3568089448974,5.48276664465903,0,42.7833937582831,45.5277380076929,35.8862678329154,53.6806480549046,51.2646788835395,53.9511736997283
"FV_green",15.3884258860524,14.56191525919,20.1818030035818,28.7579230660777,31.4265848133856,37.300627113624,42.7833937582831,0,2.74434424940983,6.89712592536772,10.8972542966215,8.48128512525646,11.1677799414452
"FV_red",18.1327701354623,17.3062595085998,22.9261472529917,31.5022673154875,34.1709290627955,40.0449713630339,45.5277380076929,2.74434424940983,0,9.64147017477755,8.15291004721167,5.73694087584663,8.4234356920354
"int_blue",8.49129996068471,7.66478933382229,13.2846770782141,21.86079714071,24.5294588880179,30.4035011882563,35.8862678329154,6.89712592536772,9.64147017477755,0,17.7943802219892,15.3784110506242,18.0649058668129
"int_green",26.2856801826739,25.4591695558115,31.0790573002033,39.6551773626992,42.3238391100071,48.1978814102455,53.6806480549046,10.8972542966215,8.15291004721167,17.7943802219892,0,2.41596917136504,0.270525644823728
"int_red",23.8697110113089,23.0432003844465,28.6630881288383,37.2392081913342,39.9078699386421,45.7819122388805,51.2646788835395,8.48128512525646,5.73694087584663,15.3784110506242,2.41596917136504,0,2.68649481618877
"int_white",26.5562058274977,25.7296952006352,31.349582945027,39.9257030075229,42.5943647548308,48.4684070550693,53.9511736997283,11.1677799414452,8.4234356920354,18.0649058668129,0.270525644823728,2.68649481618877,0
