"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_conf_blue_5x5.mnt",7.930414621,5.26333974188113,2.66707487911887,1.50672671913929,50.6726719139291,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,2.66707487911887,50.6726719139291,"conf","blue","conf_blue"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_conf_green_5x5.mnt",8.1952264,5.26333974188113,2.93188665811887,1.55703921880426,55.7039218804257,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,2.93188665811887,55.7039218804257,"conf","green","conf_green"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_conf_red_5x5.mnt",9.286194411,5.26333974188113,4.02285466911887,1.76431597928373,76.4315979283733,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,4.02285466911887,76.4315979283733,"conf","red","conf_red"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_fusion_blue_5x5.mnt",10.80801697,5.26333974188113,5.54467722811887,2.05345227555787,105.345227555787,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,5.54467722811887,105.345227555787,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_fusion_green_5x5.mnt",11.30859474,5.26333974188113,6.04525499811887,2.14855876583758,114.855876583758,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,6.04525499811887,114.855876583758,"fusion","green","fusion_green"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_fusion_red_5x5.mnt",13.13596344,5.26333974188113,7.87262369811887,2.49574682315779,149.574682315779,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,7.87262369811887,149.574682315779,"fusion","red","fusion_red"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_FV_blue_5x5.mnt",6.930723647,5.26333974188113,1.66738390511887,1.3167919965058,31.6791996505804,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,1.66738390511887,31.6791996505804,"FV","blue","FV_blue"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_FV_green_5x5.mnt",5.939795853,5.26333974188113,0.676456111118867,1.12852222054682,12.8522220546816,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,0.676456111118867,12.8522220546816,"FV","green","FV_green"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_FV_red_5x5.mnt",7.115875932,5.26333974188113,1.85253619011887,1.35196971523194,35.1969715231942,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,1.85253619011887,35.1969715231942,"FV","red","FV_red"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_int_blue_5x5.mnt",4.410250851,5.26333974188113,-0.853088890881133,0.837918710796306,-16.2081289203694,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,0.853088890881133,16.2081289203694,"int","blue","int_blue"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_int_green_5x5.mnt",4.702753632,5.26333974188113,-0.560586109881132,0.893492319064933,-10.6507680935067,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,0.560586109881132,10.6507680935067,"int","green","int_green"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_int_red_5x5.mnt",4.448501421,5.26333974188113,-0.814838320881133,0.845186068002156,-15.4813931997844,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,0.814838320881133,15.4813931997844,"int","red","int_red"
"P3_MO58A\Mo_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_F_x10_int_white_5x5.mnt",4.749129016,5.26333974188113,-0.514210725881132,0.902303337595807,-9.76966624041928,"MO58A_WEDM_F.xlsx","MO58A_WEDM_F.xlsx",20,0.500862378591157,0.111996232590206,0.514210725881132,9.76966624041928,"int","white","int_white"
