"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_blue_5x5.mnt",6.8209358,5.43464163915607,1.38629416084393,1.25508474208415,25.5084742084153,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.38629416084393,25.5084742084153,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_green_5x5.mnt",7.4749475,5.43464163915607,2.04030586084393,1.37542601634369,37.5426016343693,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,2.04030586084393,37.5426016343693,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_red_5x5.mnt",8.214058842,5.43464163915607,2.77941720284393,1.51142603089383,51.1426030893829,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,2.77941720284393,51.1426030893829,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_blue_5x5.mnt",9.348132437,5.43464163915607,3.91349079784393,1.72010098506728,72.0100985067276,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,3.91349079784393,72.0100985067276,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_green_5x5.mnt",10.44754033,5.43464163915607,5.01289869084393,1.92239728462066,92.2397284620658,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,5.01289869084393,92.2397284620658,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_red_5x5.mnt",13.18955853,5.43464163915607,7.75491689084392,2.42694172049367,142.694172049367,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,7.75491689084392,142.694172049367,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_blue_5x5.mnt",4.672762284,5.43464163915607,-0.761879355156075,0.859810562362234,-14.0189437637766,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,0.761879355156075,14.0189437637766,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_green_5x5.mnt",4.162181426,5.43464163915607,-1.27246021315607,0.765861247595771,-23.4138752404228,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.27246021315607,23.4138752404228,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_red_5x5.mnt",5.569848142,5.43464163915607,0.135206502843925,1.02487864183533,2.48786418353282,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,0.135206502843925,2.48786418353282,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_blue_5x5.mnt",3.687693832,5.43464163915607,-1.74694780715607,0.678553265670825,-32.1446734329175,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.74694780715607,32.1446734329175,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_green_5x5.mnt",3.996132584,5.43464163915607,-1.43850905515607,0.735307468151763,-26.4692531848237,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.43850905515607,26.4692531848237,"int","green","int_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_red_5x5.mnt",3.634431842,5.43464163915607,-1.80020979715607,0.66875280530261,-33.124719469739,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.80020979715607,33.124719469739,"int","red","int_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_white_5x5.mnt",3.976485511,5.43464163915607,-1.45815612815607,0.731692312948438,-26.8307687051562,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.53429109471683,0.119471120755961,1.45815612815607,26.8307687051562,"int","white","int_white"
