"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_blue_5x5.mnt",4.938637963,3.73194723870366,1.20669072429634,1.32334077818193,32.3340778181927,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,1.20669072429634,32.3340778181927,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_green_5x5.mnt",5.447598705,3.73194723870366,1.71565146629634,1.45972018267126,45.9720182671256,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,1.71565146629634,45.9720182671256,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_red_5x5.mnt",6.024649311,3.73194723870366,2.29270207229634,1.61434471755628,61.4344717556279,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,2.29270207229634,61.4344717556279,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_blue_5x5.mnt",6.196408179,3.73194723870366,2.46446094029634,1.66036864474868,66.0368644748685,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,2.46446094029634,66.0368644748685,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_green_5x5.mnt",6.194171889,3.73194723870366,2.46222465029634,1.65976941601983,65.9769416019831,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,2.46222465029634,65.9769416019831,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_red_5x5.mnt",6.839380389,3.73194723870366,3.10743315029634,1.83265731038999,83.2657310389988,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,3.10743315029634,83.2657310389988,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_blue_5x5.mnt",5.535124374,3.73194723870366,1.80317713529634,1.48317326584786,48.3173265847856,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,1.80317713529634,48.3173265847856,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_green_5x5.mnt",4.619736468,3.73194723870366,0.887789229296336,1.23788900874299,23.7889008742985,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,0.887789229296336,23.7889008742985,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_red_5x5.mnt",5.101077658,3.73194723870366,1.36913041929634,1.3668675711964,36.6867571196403,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,1.36913041929634,36.6867571196403,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_blue_5x5.mnt",4.745507695,3.73194723870366,1.01356045629634,1.27159024269818,27.1590242698181,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,1.01356045629634,27.1590242698181,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_green_5x5.mnt",4.192549884,3.73194723870366,0.460602645296336,1.12342153193364,12.3421531933643,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,0.460602645296336,12.3421531933643,"int","green","int_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_red_5x5.mnt",4.432613679,3.73194723870366,0.700666440296336,1.18774821707815,18.774821707815,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,0.700666440296336,18.774821707815,"int","red","int_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_white_5x5.mnt",4.132834995,3.73194723870366,0.400887756296336,1.10742053160312,10.7420531603118,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.753817325669085,0.168558678281317,0.400887756296336,10.7420531603118,"int","white","int_white"
