"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_blue_5x5.mnt",2.936218921,4.2152179162602,-1.2789989952602,0.696575830557547,-30.3424169442453,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.2789989952602,30.3424169442453,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_green_5x5.mnt",3.293320237,4.2152179162602,-0.921897679260196,0.781292996572259,-21.8707003427741,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.921897679260196,21.8707003427741,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_red_5x5.mnt",3.854612863,4.2152179162602,-0.360605053260196,0.914451622567564,-8.55483774324365,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.360605053260196,8.55483774324365,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_blue_5x5.mnt",3.390242174,4.2152179162602,-0.824975742260196,0.804286336163582,-19.5713663836418,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.824975742260196,19.5713663836418,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_green_5x5.mnt",3.761997826,4.2152179162602,-0.453220090260196,0.892480033235791,-10.7519966764209,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.453220090260196,10.7519966764209,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_red_5x5.mnt",4.364027005,4.2152179162602,0.148809088739804,1.03530282222558,3.53028222255777,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.148809088739804,3.53028222255777,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_blue_5x5.mnt",3.115715111,4.2152179162602,-1.0995028052602,0.739158727471985,-26.0841272528015,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.0995028052602,26.0841272528015,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_green_5x5.mnt",2.671396728,4.2152179162602,-1.5438211882602,0.633750563095467,-36.6249436904533,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.5438211882602,36.6249436904533,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_red_5x5.mnt",3.131285005,4.2152179162602,-1.0839329112602,0.742852461534924,-25.7147538465076,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.0839329112602,25.7147538465076,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_blue_5x5.mnt",3.595413481,4.2152179162602,-0.619804435260196,0.852960286378244,-14.7039713621756,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,0.619804435260196,14.7039713621756,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_green_5x5.mnt",2.318275954,4.2152179162602,-1.8969419622602,0.549977723585121,-45.0022276414879,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.8969419622602,45.0022276414879,"int","green","int_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_red_5x5.mnt",3.049502107,4.2152179162602,-1.1657158092602,0.723450641836701,-27.6549358163299,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.1657158092602,27.6549358163299,"int","red","int_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_white_5x5.mnt",2.331595098,4.2152179162602,-1.8836228182602,0.553137499488669,-44.6862500511332,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.56142009645112,0.349144147709898,1.8836228182602,44.6862500511332,"int","white","int_white"
