"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_blue_5x5.mnt",2.318888088,1.47872001784223,0.840168070157766,1.56817251407995,56.8172514079947,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.840168070157766,56.8172514079947,"conf","blue","conf_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_green_5x5.mnt",2.96342836,1.47872001784223,1.48470834215777,2.00404966744433,100.404966744433,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,1.48470834215777,100.404966744433,"conf","green","conf_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_red_5x5.mnt",3.445905758,1.47872001784223,1.96718574015777,2.33033009387964,133.033009387964,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,1.96718574015777,133.033009387964,"conf","red","conf_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_blue_5x5.mnt",3.01511683,1.47872001784223,1.53639681215777,2.03900454015608,103.900454015608,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,1.53639681215777,103.900454015608,"fusion","blue","fusion_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_green_5x5.mnt",3.961323962,1.47872001784223,2.48260394415777,2.67888708761812,167.888708761812,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,2.48260394415777,167.888708761812,"fusion","green","fusion_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_red_5x5.mnt",4.816848567,1.47872001784223,3.33812854915777,3.25744462026612,225.744462026612,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,3.33812854915777,225.744462026612,"fusion","red","fusion_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_blue_5x5.mnt",1.751880422,1.47872001784223,0.273160404157766,1.18472760283341,18.4727602833405,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.273160404157766,18.4727602833405,"FV","blue","FV_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_green_5x5.mnt",1.255784364,1.47872001784223,-0.222935653842234,0.849237414011921,-15.0762585988079,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.222935653842234,15.0762585988079,"FV","green","FV_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_red_5x5.mnt",1.496044591,1.47872001784223,0.017324573157766,1.01171592522501,1.17159252250107,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.017324573157766,1.17159252250107,"FV","red","FV_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_blue_5x5.mnt",1.368764133,1.47872001784223,-0.109955884842234,0.92564117377495,-7.43588262250503,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.109955884842234,7.43588262250503,"int","blue","int_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_green_5x5.mnt",1.369161959,1.47872001784223,-0.109558058842234,0.925910207801134,-7.40897921988656,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.109558058842234,7.40897921988656,"int","green","int_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_red_5x5.mnt",1.273116528,1.47872001784223,-0.205603489842234,0.860958472624011,-13.9041527375989,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.205603489842234,13.9041527375989,"int","red","int_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_white_5x5.mnt",1.365820585,1.47872001784223,-0.112899432842234,0.923650568410524,-7.63494315894757,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0810947071366233,0.0181333277772927,0.112899432842234,7.63494315894757,"int","white","int_white"
