"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_blue_5x5.mnt",1.497118229,3.55026486390979,-2.05314663490979,0.42169198253881,-57.830801746119,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.05314663490979,57.830801746119,"conf","blue","conf_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_green_5x5.mnt",1.690725698,3.55026486390979,-1.85953916590979,0.476225229048984,-52.3774770951016,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.85953916590979,52.3774770951016,"conf","green","conf_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_red_5x5.mnt",1.809894677,3.55026486390979,-1.74037018690979,0.50979145116706,-49.0208548832939,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.74037018690979,49.0208548832939,"conf","red","conf_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_blue_5x5.mnt",1.744619574,3.55026486390979,-1.80564528990979,0.491405469979135,-50.8594530020865,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.80564528990979,50.8594530020865,"fusion","blue","fusion_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_green_5x5.mnt",2.037769447,3.55026486390979,-1.51249541690979,0.573976738387871,-42.6023261612129,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.51249541690979,42.6023261612129,"fusion","green","fusion_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_red_5x5.mnt",2.195542395,3.55026486390979,-1.35472246890979,0.618416506700325,-38.1583493299675,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.35472246890979,38.1583493299675,"fusion","red","fusion_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_blue_5x5.mnt",2.666566512,3.55026486390979,-0.883698351909793,0.751089457890022,-24.8910542109978,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,0.883698351909793,24.8910542109978,"FV","blue","FV_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_green_5x5.mnt",1.534400433,3.55026486390979,-2.01586443090979,0.43219322834134,-56.780677165866,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.01586443090979,56.780677165866,"FV","green","FV_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_red_5x5.mnt",1.440581561,3.55026486390979,-2.10968330290979,0.405767348696777,-59.4232651303223,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.10968330290979,59.4232651303223,"FV","red","FV_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_blue_5x5.mnt",1.961718621,3.55026486390979,-1.58854624290979,0.55255556872442,-44.744443127558,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,1.58854624290979,44.744443127558,"int","blue","int_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_green_5x5.mnt",1.149189574,3.55026486390979,-2.40107528990979,0.323691222500632,-67.6308777499368,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.40107528990979,67.6308777499368,"int","green","int_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_red_5x5.mnt",1.470587653,3.55026486390979,-2.07967721090979,0.414219138394224,-58.5780861605776,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.07967721090979,58.5780861605776,"int","red","int_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_white_5x5.mnt",1.138616536,3.55026486390979,-2.41164832790979,0.320713124131837,-67.9286875868163,"14301_TR.xlsx","14301_TR.xlsx",20,0.0671123651273649,0.0150067810555574,2.41164832790979,67.9286875868163,"int","white","int_white"
