"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,9.14635461283004,93.6174172539628,81.3289650927252,96.1496682730857,233.303826493654,359.664889168438,84.3593616588659,96.9247237577177,81.0493060036613,197.143381345839,622.387480027373,233.678768214225
"conf_green",9.14635461283004,0,84.4710626411328,72.1826104798952,87.0033136602556,224.157471880824,350.518534555608,93.5057162716959,106.071078370548,71.9029513908312,206.289735958669,613.241125414543,242.825122827055
"conf_red",93.6174172539628,84.4710626411328,0,12.2884521612376,2.53225101912284,139.686409239692,266.047471914475,177.976778912829,190.542141011681,12.5681112503016,290.760798599802,528.77006277341,327.296185468187
"fusion_blue",81.3289650927252,72.1826104798952,12.2884521612376,0,14.8207031803605,151.974861400929,278.335924075713,165.688326751591,178.253688850443,0.279659089063955,278.472346438564,541.058514934648,315.00773330695
"fusion_green",96.1496682730857,87.0033136602556,2.53225101912284,14.8207031803605,0,137.154158220569,263.515220895352,180.509029931952,193.074392030803,15.1003622694244,293.293049618925,526.237811754288,329.82843648731
"fusion_red",233.303826493654,224.157471880824,139.686409239692,151.974861400929,137.154158220569,0,126.361062674783,317.66318815252,330.228550251372,152.254520489993,430.447207839494,389.083653533719,466.982594707879
"FV_blue",359.664889168438,350.518534555608,266.047471914475,278.335924075713,263.515220895352,126.361062674783,0,444.024250827304,456.589612926155,278.615583164776,556.808270514277,262.722590858936,593.343657382662
"FV_green",84.3593616588659,93.5057162716959,177.976778912829,165.688326751591,180.509029931952,317.66318815252,444.024250827304,0,12.5653620988518,165.408667662527,112.784019686973,706.746841686239,149.319406555359
"FV_red",96.9247237577177,106.071078370548,190.542141011681,178.253688850443,193.074392030803,330.228550251372,456.589612926155,12.5653620988518,0,177.974029761379,100.218657588121,719.312203785091,136.754044456507
"int_blue",81.0493060036613,71.9029513908312,12.5681112503016,0.279659089063955,15.1003622694244,152.254520489993,278.615583164776,165.408667662527,177.974029761379,0,278.1926873495,541.338174023712,314.728074217886
"int_green",197.143381345839,206.289735958669,290.760798599802,278.472346438564,293.293049618925,430.447207839494,556.808270514277,112.784019686973,100.218657588121,278.1926873495,0,819.530861373212,36.5353868683854
"int_red",622.387480027373,613.241125414543,528.77006277341,541.058514934648,526.237811754288,389.083653533719,262.722590858936,706.746841686239,719.312203785091,541.338174023712,819.530861373212,0,856.066248241598
"int_white",233.678768214225,242.825122827055,327.296185468187,315.00773330695,329.82843648731,466.982594707879,593.343657382662,149.319406555359,136.754044456507,314.728074217886,36.5353868683854,856.066248241598,0
