"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_conf_blue_5x5.mnt",3.09694443,2.67837401409334,0.418570415906655,1.15627780649908,15.6277806499084,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.418570415906655,15.6277806499084,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_conf_green_5x5.mnt",4.007534636,2.67837401409334,1.32916062190665,1.49625654031615,49.6256540316155,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,1.32916062190665,49.6256540316155,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_conf_red_5x5.mnt",4.552585897,2.67837401409334,1.87421188290666,1.69975734271791,69.9757342717908,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,1.87421188290666,69.9757342717908,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_fusion_blue_5x5.mnt",3.660794351,2.67837401409334,0.982420336906655,1.36679729258769,36.6797292587687,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.982420336906655,36.6797292587687,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_fusion_green_5x5.mnt",4.969916758,2.67837401409334,2.29154274390666,1.85557234794274,85.5572347942736,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,2.29154274390666,85.5572347942736,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_fusion_red_5x5.mnt",5.285243393,2.67837401409334,2.60686937890666,1.97330296858824,97.3302968588241,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,2.60686937890666,97.3302968588241,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_FV_blue_5x5.mnt",2.824163644,2.67837401409334,0.145789629906655,1.0544321402237,5.44321402237044,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.145789629906655,5.44321402237044,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_FV_green_5x5.mnt",3.031578612,2.67837401409334,0.353204597906655,1.13187276909353,13.1872769093535,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.353204597906655,13.1872769093535,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_FV_red_5x5.mnt",4.153780709,2.67837401409334,1.47540669490666,1.55085909852142,55.0859098521419,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,1.47540669490666,55.0859098521419,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_int_blue_5x5.mnt",2.346361288,2.67837401409334,-0.332012726093345,0.876039446191486,-12.3960553808514,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.332012726093345,12.3960553808514,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_int_green_5x5.mnt",2.54207111,2.67837401409334,-0.136302904093345,0.949109831794913,-5.08901682050871,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.136302904093345,5.08901682050871,"int","green","int_green"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_int_red_5x5.mnt",2.514383142,2.67837401409334,-0.163990872093345,0.938772228512358,-6.12277714876418,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.163990872093345,6.12277714876418,"int","red","int_red"
"C45_5x5\C45_5x5\C45_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_HON_x10_int_white_5x5.mnt",2.548753321,2.67837401409334,-0.129620693093345,0.951604707777445,-4.8395292222555,"C45_HON.xlsx","C45_HON.xlsx",20,0.101383952661482,0.0226701409978695,0.129620693093345,4.8395292222555,"int","white","int_white"
