"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_conf_blue_5x5.mnt",10.72839986,9.83818796208131,0.890211897918691,1.09048535170804,9.04853517080358,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.890211897918691,9.04853517080358,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_conf_green_5x5.mnt",12.02765444,9.83818796208131,2.18946647791869,1.22254773809541,22.254773809541,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,2.18946647791869,22.254773809541,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_conf_red_5x5.mnt",12.85360649,9.83818796208131,3.01541852791869,1.30650141464473,30.6501414644732,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,3.01541852791869,30.6501414644732,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_fusion_blue_5x5.mnt",14.64929713,9.83818796208131,4.81110916791869,1.48902391237714,48.9023912377141,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,4.81110916791869,48.9023912377141,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_fusion_green_5x5.mnt",22.51067423,9.83818796208131,12.6724862679187,2.28809149782068,128.809149782068,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,12.6724862679187,128.809149782068,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_fusion_red_5x5.mnt",30.17480956,9.83818796208131,20.3366215979187,3.06711049598776,206.711049598776,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,20.3366215979187,206.711049598776,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_FV_blue_5x5.mnt",9.051265306,9.83818796208131,-0.786922656081309,0.920013455819883,-7.99865441801167,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.786922656081309,7.99865441801167,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_FV_green_5x5.mnt",9.196978813,9.83818796208131,-0.641209149081309,0.934824466502096,-6.51755334979043,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.641209149081309,6.51755334979043,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_FV_red_5x5.mnt",9.753930886,9.83818796208131,-0.0842570760813093,0.991435711900804,-0.85642880991963,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.0842570760813093,0.85642880991963,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_int_blue_5x5.mnt",6.754030168,9.83818796208131,-3.08415779408131,0.686511600919968,-31.3488399080032,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,3.08415779408131,31.3488399080032,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_int_green_5x5.mnt",10.19377232,9.83818796208131,0.355584357918692,1.03614327753131,3.61432775313094,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.355584357918692,3.61432775313094,"int","green","int_green"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_int_red_5x5.mnt",10.04304799,9.83818796208131,0.204860027918691,1.02082294307735,2.08229430773502,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.204860027918691,2.08229430773502,"int","red","int_red"
"C45_5x5\C45_5x5\C45_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_R_x10_int_white_5x5.mnt",10.20326336,9.83818796208131,0.365075397918691,1.03710799176899,3.71079917689901,"C45_WEDM_R.xlsx","C45_WEDM_R.xlsx",20,0.379422187071423,0.0848413802463344,0.365075397918691,3.71079917689901,"int","white","int_white"
