"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_blue_5x5.mnt",10.58399121,3.38068437298857,7.20330683701143,3.1307244457854,213.07244457854,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.20330683701143,213.07244457854,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_green_5x5.mnt",10.64285503,3.38068437298857,7.26217065701143,3.14813625165238,214.813625165238,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.26217065701143,214.813625165238,"conf","green","conf_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_red_5x5.mnt",10.72674179,3.38068437298857,7.34605741701143,3.17294979552244,217.294979552244,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.34605741701143,217.294979552244,"conf","red","conf_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_blue_5x5.mnt",10.84334005,3.38068437298857,7.46265567701143,3.20743933880297,220.743933880297,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.46265567701143,220.743933880297,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_green_5x5.mnt",11.08915074,3.38068437298857,7.70846636701143,3.28014967283001,228.014967283001,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.70846636701143,228.014967283001,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_red_5x5.mnt",11.3602292,3.38068437298857,7.97954482701143,3.36033416510794,236.033416510794,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.97954482701143,236.033416510794,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_blue_5x5.mnt",9.972311174,3.38068437298857,6.59162680101143,2.9497906559033,194.97906559033,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,6.59162680101143,194.97906559033,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_green_5x5.mnt",9.856163803,3.38068437298857,6.47547943001143,2.91543448473039,191.543448473039,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,6.47547943001143,191.543448473039,"FV","green","FV_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_red_5x5.mnt",9.79072445,3.38068437298857,6.41004007701143,2.8960776487232,189.60776487232,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,6.41004007701143,189.60776487232,"FV","red","FV_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_blue_5x5.mnt",6.712655526,3.38068437298857,3.33197115301143,1.98559072229092,98.5590722290919,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,3.33197115301143,98.5590722290919,"int","blue","int_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_green_5x5.mnt",9.931063582,3.38068437298857,6.55037920901143,2.93758969673374,193.758969673374,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,6.55037920901143,193.758969673374,"int","green","int_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_red_5x5.mnt",10.90484851,3.38068437298857,7.52416413701143,3.225633424146,222.5633424146,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.52416413701143,222.5633424146,"int","red","int_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_white_5x5.mnt",11.14180308,3.38068437298857,7.76111870701143,3.29572413474095,229.572413474095,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.327525760264873,0.0732369864334555,7.76111870701143,229.572413474095,"int","white","int_white"
