"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_blue_5x5.mnt",8.684944688,7.35663179918228,1.32831288881772,1.18055992539485,18.0559925394849,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,1.32831288881772,18.0559925394849,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_green_5x5.mnt",9.097159025,7.35663179918228,1.74052722581772,1.23659295086798,23.6592950867976,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,1.74052722581772,23.6592950867976,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_red_5x5.mnt",9.074875533,7.35663179918228,1.71824373381772,1.23356391630321,23.3563916303207,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,1.71824373381772,23.3563916303207,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_blue_5x5.mnt",8.789323559,7.35663179918228,1.43269175981772,1.19474833034011,19.4748330340112,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,1.43269175981772,19.4748330340112,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_green_5x5.mnt",9.227306227,7.35663179918228,1.87067442781772,1.25428409072011,25.4284090720111,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,1.87067442781772,25.4284090720111,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_red_5x5.mnt",9.487924569,7.35663179918228,2.13129276981772,1.2897104038909,28.9710403890898,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,2.13129276981772,28.9710403890898,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_blue_5x5.mnt",7.658759364,7.35663179918228,0.302127564817723,1.04106873540297,4.10687354029742,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,0.302127564817723,4.10687354029742,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_green_5x5.mnt",7.454050456,7.35663179918228,0.0974186568177231,1.01324229069457,1.32422906945746,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,0.0974186568177231,1.32422906945746,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_red_5x5.mnt",7.466873239,7.35663179918228,0.110241439817723,1.01498531431599,1.49853143159859,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,0.110241439817723,1.49853143159859,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_blue_5x5.mnt",10.27984985,7.35663179918228,2.92321805081772,1.39735821101481,39.7358211014809,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,2.92321805081772,39.7358211014809,"int","blue","int_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_green_5x5.mnt",7.98691641,7.35663179918228,0.630284610817723,1.08567570431998,8.56757043199827,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,0.630284610817723,8.56757043199827,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_red_5x5.mnt",9.900722717,7.35663179918228,2.54409091781772,1.34582278782805,34.5822787828053,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,2.54409091781772,34.5822787828053,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_white_5x5.mnt",9.481250148,7.35663179918228,2.12461834881772,1.28880313801404,28.8803138014041,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.5045776467644,0.112826991809207,2.12461834881772,28.8803138014041,"int","white","int_white"
