"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_blue_5x5.mnt",0.3471854294,0.0706297752198407,0.276555654180159,4.91556752544317,391.556752544317,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.276555654180159,391.556752544317,"conf","blue","conf_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_green_5x5.mnt",0.3601804968,0.0706297752198407,0.289550721580159,5.09955603962932,409.955603962932,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.289550721580159,409.955603962932,"conf","green","conf_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_red_5x5.mnt",0.4122009247,0.0706297752198407,0.341571149480159,5.8360786710278,483.60786710278,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.341571149480159,483.60786710278,"conf","red","conf_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_blue_5x5.mnt",0.4296679194,0.0706297752198407,0.359038144180159,6.08338222884931,508.33822288493,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.359038144180159,508.33822288493,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_green_5x5.mnt",0.4586055934,0.0706297752198407,0.387975818180159,6.49309150386723,549.309150386723,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.387975818180159,549.309150386723,"fusion","green","fusion_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_red_5x5.mnt",0.5510522773,0.0706297752198407,0.480422502080159,7.80198259989936,680.198259989936,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.480422502080159,680.198259989936,"fusion","red","fusion_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5.mnt",0.3469177917,0.0706297752198407,0.276288016480159,4.91177822129819,391.177822129819,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.276288016480159,391.177822129819,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5_mocniejsze_swiatlo.mnt",0.6954216975,0.0706297752198407,0.624791922280159,9.84601317695611,884.601317695611,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.624791922280159,884.601317695611,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_green_5x5.mnt",0.243483212,0.0706297752198407,0.172853436780159,3.44731681846841,244.731681846841,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.172853436780159,244.731681846841,"FV","green","FV_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_red_5x5.mnt",0.2176600297,0.0706297752198407,0.147030254480159,3.08170355947638,208.170355947638,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.147030254480159,208.170355947638,"FV","red","FV_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_blue_5x5.mnt",0.1854187028,0.0706297752198407,0.114788927580159,2.6252200608436,162.52200608436,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.114788927580159,162.52200608436,"int","blue","int_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_green_5x5.mnt",0.08169180094,0.0706297752198407,0.0110620257201593,1.15661986302134,15.6619863021337,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.0110620257201593,15.6619863021337,"int","green","int_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_red_5x5.mnt",0.6390168854,0.0706297752198407,0.568387110180159,9.04741496643604,804.741496643604,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.0201090905740482,0.0044965293489272,0.568387110180159,804.741496643604,"int","red","int_red"
