"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_conf_blue_5x5.mnt",1.571790209,0.642953248398531,0.928836960601469,2.44464152395997,144.464152395997,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.928836960601469,144.464152395997,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_conf_green_5x5.mnt",1.771550042,0.642953248398531,1.12859679360147,2.75533259441892,175.533259441892,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.12859679360147,175.533259441892,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_conf_red_5x5.mnt",2.012048396,0.642953248398531,1.36909514760147,3.12938522514913,212.938522514913,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.36909514760147,212.938522514913,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_fusion_blue_5x5.mnt",1.839108708,0.642953248398531,1.19615545960147,2.86040814410823,186.040814410823,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.19615545960147,186.040814410823,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_fusion_green_5x5.mnt",1.999638788,0.642953248398531,1.35668553960147,3.11008427592629,211.008427592629,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.35668553960147,211.008427592629,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_fusion_red_5x5.mnt",2.242664213,0.642953248398531,1.59971096460147,3.48806731840306,248.806731840306,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.59971096460147,248.806731840306,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_FV_blue_5x5.mnt",2.025367942,0.642953248398531,1.38241469360147,3.1501014219071,215.01014219071,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,1.38241469360147,215.01014219071,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_FV_green_5x5.mnt",1.286851667,0.642953248398531,0.643898418601469,2.00147004499206,100.147004499206,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.643898418601469,100.147004499206,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_FV_red_5x5.mnt",1.09285799,0.642953248398531,0.449904741601469,1.69974720980428,69.9747209804277,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.449904741601469,69.9747209804277,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_int_blue_5x5.mnt",1.451778435,0.642953248398531,0.808825186601469,2.25798444695021,125.798444695021,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.808825186601469,125.798444695021,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_int_green_5x5.mnt",1.324577895,0.642953248398531,0.681624646601469,2.06014651656129,106.014651656129,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.681624646601469,106.014651656129,"int","green","int_green"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_int_red_5x5.mnt",1.256873275,0.642953248398531,0.613920026601469,1.9548439612532,95.4843961253204,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.613920026601469,95.4843961253204,"int","red","int_red"
"P3_Ti6Al4V\Ti_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_B_x10_int_white_5x5.mnt",1.27193156,0.642953248398531,0.628978311601469,1.97826445883605,97.8264458836049,"Ti6Al4V_B.xlsx","Ti6Al4V_B.xlsx",20,0.0656227288584438,0.0146736882596517,0.628978311601469,97.8264458836049,"int","white","int_white"
