"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_blue_5x5.mnt",0.4258747742,0.479436403893105,-0.0535616296931055,0.888282096940958,-11.1717903059042,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.0535616296931055,11.1717903059042,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_green_5x5.mnt",0.495362508,0.479436403893105,0.0159261041068945,1.03321838720959,3.321838720959,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.0159261041068945,3.321838720959,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_red_5x5.mnt",0.5746869154,0.479436403893105,0.0952505115068946,1.19867183787765,19.867183787765,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.0952505115068946,19.867183787765,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_blue_5x5.mnt",0.5503522014,0.479436403893105,0.0709157975068945,1.14791492037535,14.7914920375354,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.0709157975068945,14.7914920375354,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_green_5x5.mnt",0.6447516779,0.479436403893105,0.165315274006895,1.3448116844372,34.4811684437198,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.165315274006895,34.4811684437198,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_red_5x5.mnt",0.750381994,0.479436403893105,0.270945590106895,1.56513353576568,56.5133535765683,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.270945590106895,56.5133535765683,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_blue_5x5.mnt",0.7307073751,0.479436403893105,0.251270971206895,1.52409656247738,52.4096562477382,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.251270971206895,52.4096562477382,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_green_5x5.mnt",0.3627103155,0.479436403893105,-0.116726088393105,0.756534782412704,-24.3465217587296,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.116726088393105,24.3465217587296,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_red_5x5.mnt",0.3522778272,0.479436403893105,-0.127158576693105,0.734774882214709,-26.5225117785291,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.127158576693105,26.5225117785291,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_blue_5x5.mnt",0.5754051965,0.479436403893105,0.0959687926068946,1.20017001593457,20.0170015934567,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.0959687926068946,20.0170015934567,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_green_5x5.mnt",0.2074766103,0.479436403893105,-0.271959793593105,0.432751056480598,-56.7248943519402,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.271959793593105,56.7248943519402,"int","green","int_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_red_5x5.mnt",0.7420052944,0.479436403893105,0.262568890506895,1.54766156339984,54.7661563399838,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.262568890506895,54.7661563399838,"int","red","int_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_white_5x5.mnt",0.2013237948,0.479436403893105,-0.278112609093105,0.419917622369133,-58.0082377630867,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.0914024450987987,0.0204382080550606,0.278112609093105,58.0082377630867,"int","white","int_white"
