"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_conf_blue_5x5.mnt",1.284391,0.826716276775852,0.457674723224148,1.55360555499047,55.3605554990468,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.457674723224148,55.3605554990468,"conf","blue","conf_blue"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_conf_green_5x5.mnt",1.3992801,0.826716276775852,0.572563823224148,1.69257596506641,69.2575965066414,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.572563823224148,69.2575965066414,"conf","green","conf_green"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_conf_red_5x5.mnt",1.678036989,0.826716276775852,0.851320712224148,2.02976164391519,102.976164391519,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.851320712224148,102.976164391519,"conf","red","conf_red"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_fusion_blue_5x5.mnt",1.767293347,0.826716276775852,0.940577070224148,2.13772656550606,113.772656550606,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.940577070224148,113.772656550606,"fusion","blue","fusion_blue"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_fusion_green_5x5.mnt",1.826701668,0.826716276775852,0.999985391224148,2.20958715742726,120.958715742726,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.999985391224148,120.958715742726,"fusion","green","fusion_green"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_fusion_red_5x5.mnt",2.158138937,0.826716276775852,1.33142266022415,2.6104952782793,161.04952782793,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,1.33142266022415,161.04952782793,"fusion","red","fusion_red"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_FV_blue_5x5.mnt",1.679615721,0.826716276775852,0.852899444224148,2.03167128576494,103.167128576494,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.852899444224148,103.167128576494,"FV","blue","FV_blue"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_FV_green_5x5.mnt",0.8965232316,0.826716276775852,0.0698069548241484,1.08443882960233,8.44388296023295,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.0698069548241484,8.44388296023295,"FV","green","FV_green"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_FV_red_5x5.mnt",1.041425305,0.826716276775852,0.214709028224148,1.25971307721375,25.9713077213747,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.214709028224148,25.9713077213747,"FV","red","FV_red"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_int_blue_5x5.mnt",1.191926714,0.826716276775852,0.365210437224148,1.44176030820205,44.1760308202046,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.365210437224148,44.1760308202046,"int","blue","int_blue"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_int_green_5x5.mnt",0.4224390789,0.826716276775852,-0.404277197875852,0.510984349488665,-48.9015650511335,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.404277197875852,48.9015650511335,"int","green","int_green"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_int_red_5x5.mnt",1.128606379,0.826716276775852,0.301890102224148,1.36516772525818,36.5167725258179,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.301890102224148,36.5167725258179,"int","red","int_red"
"P3_1_4301\AU_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_B_x10_int_white_5x5.mnt",0.3971150579,0.826716276775852,-0.429601218875852,0.480352291415777,-51.9647708584223,"14301_B.xlsx","14301_B.xlsx",20,0.389258548171334,0.087040857453398,0.429601218875852,51.9647708584223,"int","white","int_white"
