"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_blue_5x5.mnt",7.134539116,7.82648751535443,-0.691948399354426,0.911588896296465,-8.84111037035355,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,0.691948399354426,8.84111037035355,"conf","blue","conf_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_green_5x5.mnt",8.256771137,7.82648751535443,0.430283621645573,1.0549778710822,5.49778710821962,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,0.430283621645573,5.49778710821962,"conf","green","conf_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_red_5x5.mnt",9.054072826,7.82648751535443,1.22758531064557,1.1568500950442,15.6850095044198,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,1.22758531064557,15.6850095044198,"conf","red","conf_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_blue_5x5.mnt",11.40110898,7.82648751535443,3.57462146464557,1.45673381036291,45.673381036291,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,3.57462146464557,45.673381036291,"fusion","blue","fusion_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_green_5x5.mnt",11.93431392,7.82648751535443,4.10782640464557,1.52486206572062,52.4862065720621,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,4.10782640464557,52.4862065720621,"fusion","green","fusion_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_red_5x5.mnt",12.59624013,7.82648751535443,4.76975261464557,1.60943719711914,60.9437197119144,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,4.76975261464557,60.9437197119144,"fusion","red","fusion_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_blue_5x5.mnt",7.480508079,7.82648751535443,-0.345979436354426,0.955793779051501,-4.42062209484989,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,0.345979436354426,4.42062209484989,"FV","blue","FV_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_green_5x5.mnt",8.841252263,7.82648751535443,1.01476474764557,1.12965774821141,12.9657748211411,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,1.01476474764557,12.9657748211411,"FV","green","FV_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_red_5x5.mnt",11.52365278,7.82648751535443,3.69716526464557,1.47239138341335,47.2391383413348,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,3.69716526464557,47.2391383413348,"FV","red","FV_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_blue_5x5.mnt",5.323630337,7.82648751535443,-2.50285717835443,0.68020683947375,-31.979316052625,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,2.50285717835443,31.979316052625,"int","blue","int_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_green_5x5.mnt",6.629978468,7.82648751535443,-1.19650904735443,0.847120557592783,-15.2879442407217,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,1.19650904735443,15.2879442407217,"int","green","int_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_red_5x5.mnt",6.373057089,7.82648751535443,-1.45343042635443,0.814293394897391,-18.5706605102609,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,1.45343042635443,18.5706605102609,"int","red","int_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_white_5x5.mnt",6.653628558,7.82648751535443,-1.17285895735443,0.850142358873831,-14.9857641126169,"14301_HON.xlsx","14301_HON.xlsx",20,0.736975697031335,0.164792775632735,1.17285895735443,14.9857641126169,"int","white","int_white"
