"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_blue_5x5.mnt",3.103346753,9.25921041607682,-6.15586366307682,0.335163217331322,-66.4836782668678,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,6.15586366307682,66.4836782668678,"conf","blue","conf_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_green_5x5.mnt",3.2272913,9.25921041607682,-6.03191911607682,0.348549299019756,-65.1450700980244,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,6.03191911607682,65.1450700980244,"conf","green","conf_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_red_5x5.mnt",3.374863242,9.25921041607682,-5.88434717407682,0.36448715282895,-63.551284717105,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.88434717407682,63.551284717105,"conf","red","conf_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_blue_5x5.mnt",3.434521153,9.25921041607682,-5.82468926307682,0.370930241204652,-62.9069758795348,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.82468926307682,62.9069758795348,"fusion","blue","fusion_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_green_5x5.mnt",3.612203784,9.25921041607682,-5.64700663207682,0.390120066580203,-60.9879933419797,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.64700663207682,60.9879933419797,"fusion","green","fusion_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_red_5x5.mnt",3.854420979,9.25921041607682,-5.40478943707682,0.416279661633734,-58.3720338366266,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.40478943707682,58.3720338366266,"fusion","red","fusion_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_blue_5x5.mnt",7.957231768,9.25921041607682,-1.30197864807682,0.859385564257597,-14.0614435742403,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,1.30197864807682,14.0614435742403,"FV","blue","FV_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_green_5x5.mnt",3.807133026,9.25921041607682,-5.45207739007682,0.411172535769319,-58.8827464230681,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.45207739007682,58.8827464230681,"FV","green","FV_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_red_5x5.mnt",3.425105742,9.25921041607682,-5.83410467407682,0.369913371452599,-63.0086628547401,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.83410467407682,63.0086628547401,"FV","red","FV_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_blue_5x5.mnt",3.901948747,9.25921041607682,-5.35726166907682,0.421412687654773,-57.8587312345227,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,5.35726166907682,57.8587312345227,"int","blue","int_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_green_5x5.mnt",2.604851863,9.25921041607682,-6.65435855307682,0.281325485213856,-71.8674514786144,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,6.65435855307682,71.8674514786144,"int","green","int_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_red_5x5.mnt",3.130947563,9.25921041607682,-6.12826285307682,0.338144120535777,-66.1855879464223,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,6.12826285307682,66.1855879464223,"int","red","int_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_white_5x5.mnt",2.613050316,9.25921041607682,-6.64616010007682,0.282210922808596,-71.7789077191404,"14301_TF.xlsx","14301_TF.xlsx",20,3.71289922096817,0.830229505169085,6.64616010007682,71.7789077191404,"int","white","int_white"
