"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,12.1707576709004,97.3814673153129,79.1483404891368,77.0091057992467,192.40502238077,205.009797190774,49.6209148910342,39.9859881456734,56.4004462604488,168.063293796019,487.124334773944,182.951543523568
"conf_green",12.1707576709004,0,85.2107096444125,66.9775828182364,64.8383481283464,180.234264709869,192.839039519874,61.7916725619346,52.1567458165738,44.2296885895485,180.234051466919,474.953577103043,195.122301194469
"conf_red",97.3814673153129,85.2107096444125,0,18.2331268261761,20.3723615160662,95.0235550654568,107.628329875461,147.002382206347,137.367455460986,40.9810210548641,265.444761111331,389.742867458631,280.333010838881
"fusion_blue",79.1483404891368,66.9775828182364,18.2331268261761,0,2.13923468989009,113.256681891633,125.861456701637,128.769255380171,119.13432863481,22.747894228688,247.211634285155,407.975994284807,262.099884012705
"fusion_green",77.0091057992467,64.8383481283464,20.3723615160662,2.13923468989009,0,115.395916581523,128.000691391528,126.630020690281,116.99509394492,20.6086595387979,245.072399595265,410.115228974697,259.960649322815
"fusion_red",192.40502238077,180.234264709869,95.0235550654568,113.256681891633,115.395916581523,0,12.6047748100046,242.025937271804,232.391010526443,136.004576120321,360.468316176788,294.719312393174,375.356565904338
"FV_blue",205.009797190774,192.839039519874,107.628329875461,125.861456701637,128.000691391528,12.6047748100046,0,254.630712081808,244.995785336448,148.609350930325,373.073090986793,282.114537583169,387.961340714343
"FV_green",49.6209148910342,61.7916725619346,147.002382206347,128.769255380171,126.630020690281,242.025937271804,254.630712081808,0,9.63492674536079,106.021361151483,118.442378904984,536.745249664978,133.330628632534
"FV_red",39.9859881456734,52.1567458165738,137.367455460986,119.13432863481,116.99509394492,232.391010526443,244.995785336448,9.63492674536079,0,96.3864344061223,128.077305650345,527.110322919617,142.965555377895
"int_blue",56.4004462604488,44.2296885895485,40.9810210548641,22.747894228688,20.6086595387979,136.004576120321,148.609350930325,106.021361151483,96.3864344061223,0,224.463740056467,430.723888513495,239.351989784017
"int_green",168.063293796019,180.234051466919,265.444761111331,247.211634285155,245.072399595265,360.468316176788,373.073090986793,118.442378904984,128.077305650345,224.463740056467,0,655.187628569962,14.8882497275499
"int_red",487.124334773944,474.953577103043,389.742867458631,407.975994284807,410.115228974697,294.719312393174,282.114537583169,536.745249664978,527.110322919617,430.723888513495,655.187628569962,0,670.075878297512
"int_white",182.951543523568,195.122301194469,280.333010838881,262.099884012705,259.960649322815,375.356565904338,387.961340714343,133.330628632534,142.965555377895,239.351989784017,14.8882497275499,670.075878297512,0
