"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_blue_5x5.mnt",7.889912042,11.6545537207668,-3.76464167876677,0.676981052302439,-32.3018947697561,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,3.76464167876677,32.3018947697561,"conf","blue","conf_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_green_5x5.mnt",8.577290874,11.6545537207668,-3.07726284676677,0.735960473434214,-26.4039526565786,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,3.07726284676677,26.4039526565786,"conf","green","conf_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_red_5x5.mnt",9.2823275,11.6545537207668,-2.37222622076677,0.796454992820549,-20.3545007179451,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,2.37222622076677,20.3545007179451,"conf","red","conf_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_blue_5x5.mnt",8.457443853,11.6545537207668,-3.19710986776677,0.725677194994608,-27.4322805005392,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,3.19710986776677,27.4322805005392,"fusion","blue","fusion_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_green_5x5.mnt",9.047912,11.6545537207668,-2.60664172076677,0.776341352640376,-22.3658647359624,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,2.60664172076677,22.3658647359624,"fusion","green","fusion_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_red_5x5.mnt",9.783796047,11.6545537207668,-1.87075767376677,0.839482684743789,-16.0517315256212,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,1.87075767376677,16.0517315256212,"fusion","red","fusion_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_blue_5x5.mnt",8.710095216,11.6545537207668,-2.94445850476677,0.747355533698372,-25.2644466301628,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,2.94445850476677,25.2644466301628,"FV","blue","FV_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_green_5x5.mnt",7.347578553,11.6545537207668,-4.30697516776677,0.630447010588458,-36.9552989411542,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,4.30697516776677,36.9552989411542,"FV","green","FV_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_red_5x5.mnt",7.482355947,11.6545537207668,-4.17219777376677,0.642011365365925,-35.7988634634075,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,4.17219777376677,35.7988634634075,"FV","red","FV_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_blue_5x5.mnt",8.206191432,11.6545537207668,-3.44836228876677,0.704118890230668,-29.5881109769332,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,3.44836228876677,29.5881109769332,"int","blue","int_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_green_5x5.mnt",7.044028789,11.6545537207668,-4.61052493176677,0.604401417486157,-39.5598582513843,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,4.61052493176677,39.5598582513843,"int","green","int_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_red_5x5.mnt",7.512454989,11.6545537207668,-4.14209873176677,0.644593964641809,-35.5406035358191,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,4.14209873176677,35.5406035358191,"int","red","int_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_white_5x5.mnt",7.046490511,11.6545537207668,-4.60806320976677,0.60461264153291,-39.538735846709,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.313721539641439,0.0701502688644153,4.60806320976677,39.538735846709,"int","white","int_white"
