"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_conf_green_5x5.mnt",7.644013384,9.90623452592434,-2.26222114192434,0.771636625803258,-22.8363374196742,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,2.26222114192434,22.8363374196742,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_conf_red_5x5.mnt",8.2822136,9.90623452592434,-1.62402092592434,0.836060723004859,-16.3939276995141,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,1.62402092592434,16.3939276995141,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_blue_5x5.mnt",8.187654847,9.90623452592434,-1.71857967892434,0.826515345015619,-17.3484654984381,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,1.71857967892434,17.3484654984381,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_green_5x5.mnt",8.581548668,9.90623452592434,-1.32468585792434,0.866277559403861,-13.3722440596139,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,1.32468585792434,13.3722440596139,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_red_5x5.mnt",9.345598505,9.90623452592434,-0.560636020924344,0.943405739137593,-5.65942608624069,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,0.560636020924344,5.65942608624069,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_blue_5x5.mnt",6.704289326,9.90623452592434,-3.20194519992434,0.676774743062569,-32.3225256937431,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.20194519992434,32.3225256937431,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_green_5x5.mnt",6.261145037,9.90623452592434,-3.64508948892434,0.632040864832622,-36.7959135167378,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.64508948892434,36.7959135167378,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_red_5x5.mnt",6.511109695,9.90623452592434,-3.39512483092434,0.657273929661225,-34.2726070338775,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.39512483092434,34.2726070338775,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_blue_5x5.mnt",7.287182053,9.90623452592434,-2.61905247292434,0.73561574117084,-26.438425882916,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,2.61905247292434,26.438425882916,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_green_5x5.mnt",6.413763258,9.90623452592434,-3.49247126792434,0.647447144645663,-35.2552855354337,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.49247126792434,35.2552855354337,"int","green","int_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_red_5x5.mnt",6.409131105,9.90623452592434,-3.49710342092434,0.646979544874239,-35.3020455125761,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.49710342092434,35.3020455125761,"int","red","int_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_white_5x5.mnt",6.418688279,9.90623452592434,-3.48754624692434,0.647944308425413,-35.2055691574587,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,3.48754624692434,35.2055691574587,"int","white","int_white"
NA,NA,9.90623452592434,NA,NA,NA,"C45_MR.xlsx","C45_MR.xlsx",20,0.853618530240917,0.190874906047215,NA,NA,"other","unknown","other_unknown"
