"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_green_5x5.mnt",2.379879147,25.4580367804622,-23.0781576334622,0.0934824302251948,-90.6517569774805,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.0781576334622,90.6517569774805,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_red_5x5.mnt",2.639802163,25.4580367804622,-22.8182346174622,0.103692291191358,-89.6307708808642,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,22.8182346174622,89.6307708808642,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_blue_5x5.mnt",2.714471526,25.4580367804622,-22.7435652544622,0.106625328158974,-89.3374671841026,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,22.7435652544622,89.3374671841026,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_green_5x5.mnt",2.927009163,25.4580367804622,-22.5310276174622,0.114973875960708,-88.5026124039292,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,22.5310276174622,88.5026124039292,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_red_5x5.mnt",3.285260358,25.4580367804622,-22.1727764224622,0.129046099914557,-87.0953900085443,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,22.1727764224622,87.0953900085443,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_blue_5x5.mnt",2.654835684,25.4580367804622,-22.8032010964622,0.104282812806581,-89.5717187193419,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,22.8032010964622,89.5717187193419,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_green_5x5.mnt",1.846519474,25.4580367804622,-23.6115173064622,0.0725318880604774,-92.7468111939523,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.6115173064622,92.7468111939523,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_red_5x5.mnt",1.965333389,25.4580367804622,-23.4927033914622,0.0771989374494225,-92.2801062550577,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.4927033914622,92.2801062550577,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_blue_5x5.mnt",2.453884058,25.4580367804622,-23.0041527224622,0.0963893673012224,-90.3610632698778,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.0041527224622,90.3610632698778,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_green_5x5.mnt",1.574825458,25.4580367804622,-23.8832113224622,0.061859658369596,-93.8140341630404,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.8832113224622,93.8140341630404,"int","green","int_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_red_5x5.mnt",1.860241247,25.4580367804622,-23.5977955334622,0.0730708837858088,-92.6929116214191,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.5977955334622,92.6929116214191,"int","red","int_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_white_5x5.mnt",1.535022658,25.4580367804622,-23.9230141224622,0.0602961913849561,-93.9703808615044,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,23.9230141224622,93.9703808615044,"int","white","int_white"
NA,NA,25.4580367804622,NA,NA,NA,"C45_TR.xlsx","C45_TR.xlsx",20,4.13170053075883,0.923876324944869,NA,NA,"other","unknown","other_unknown"
