"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,1.02098609661635,1.31428979337788,2.14914457355131,3.55636696893625,1.08003825813866,2.09505421647174,1.62834927757721,0.290693707602756,3.16227718555989,2.04115464393858,3.31862388402388
"conf_red",1.02098609661635,0,0.293303696761527,1.12815847693496,2.53538087231989,0.0590521615223025,3.11604031308809,2.64933537419357,0.730292389013599,4.18326328217624,3.06214074055494,4.33960998064023
"fusion_blue",1.31428979337788,0.293303696761527,0,0.83485478017343,2.24207717555836,0.234251535239224,3.40934400984962,2.9426390709551,1.02359608577513,4.47656697893777,3.35544443731646,4.63291367740176
"fusion_green",2.14914457355131,1.12815847693496,0.83485478017343,0,1.40722239538493,1.06910631541265,4.24419879002305,3.77749385112853,1.85845086594856,5.3114217591112,4.19029921748989,5.46776845757519
"fusion_red",3.55636696893625,2.53538087231989,2.24207717555836,1.40722239538493,0,2.47632871079759,5.65142118540798,5.18471624651346,3.26567326133349,6.71864415449613,5.59752161287483,6.87499085296012
"FV_blue",1.08003825813866,0.0590521615223025,0.234251535239224,1.06910631541265,2.47632871079759,0,3.17509247461039,2.70838753571587,0.789344550535901,4.24231544369854,3.12119290207724,4.39866214216254
"FV_green",2.09505421647174,3.11604031308809,3.40934400984962,4.24419879002305,5.65142118540798,3.17509247461039,0,0.466704938894523,2.38574792407449,1.06722296908815,0.0538995725331546,1.22356966755214
"FV_red",1.62834927757721,2.64933537419357,2.9426390709551,3.77749385112853,5.18471624651346,2.70838753571587,0.466704938894523,0,1.91904298517997,1.53392790798267,0.412805366361368,1.69027460644666
"int_blue",0.290693707602756,0.730292389013599,1.02359608577513,1.85845086594856,3.26567326133349,0.789344550535901,2.38574792407449,1.91904298517997,0,3.45297089316264,2.33184835154134,3.60931759162663
"int_green",3.16227718555989,4.18326328217624,4.47656697893777,5.3114217591112,6.71864415449613,4.24231544369854,1.06722296908815,1.53392790798267,3.45297089316264,0,1.1211225416213,0.156346698463992
"int_red",2.04115464393858,3.06214074055494,3.35544443731646,4.19029921748989,5.59752161287483,3.12119290207724,0.0538995725331546,0.412805366361368,2.33184835154134,1.1211225416213,0,1.2774692400853
"int_white",3.31862388402388,4.33960998064023,4.63291367740176,5.46776845757519,6.87499085296012,4.39866214216254,1.22356966755214,1.69027460644666,3.60931759162663,0.156346698463992,1.2774692400853,0
