"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,37.0783989626515,57.8192579734959,187.50891207631,84.6083858239783,98.3462176417122,82.163885344474,95.6304329911547,70.3571763057565,65.7998023530711,78.7627174073686,72.7806779131378,78.7317675638114
"conf_green",37.0783989626515,0,20.7408590108444,150.430513113658,47.5299868613268,61.2678186790607,119.242284307125,132.708831953806,107.435575268408,102.878201315723,115.84111637002,109.859076875789,115.810166526463
"conf_red",57.8192579734959,20.7408590108444,0,129.689654102814,26.7891278504824,40.5269596682163,139.98314331797,153.449690964651,128.176434279252,123.619060326567,136.581975380864,130.599935886634,136.551025537307
"fusion_blue",187.50891207631,150.430513113658,129.689654102814,0,102.900526252332,89.1626944345977,269.672797420784,283.139345067465,257.866088382066,253.308714429381,266.271629483679,260.289589989448,266.240679640121
"fusion_green",84.6083858239783,47.5299868613268,26.7891278504824,102.900526252332,0,13.7378318177339,166.772271168452,180.238818815133,154.965562129735,150.408188177049,163.371103231347,157.389063737116,163.34015338779
"fusion_red",98.3462176417122,61.2678186790607,40.5269596682163,89.1626944345977,13.7378318177339,0,180.510102986186,193.976650632867,168.703393947469,164.146019994783,177.108935049081,171.12689555485,177.077985205524
"FV_blue",82.163885344474,119.242284307125,139.98314331797,269.672797420784,166.772271168452,180.510102986186,0,13.4665476466808,11.8067090387174,16.3640829914029,3.40116793710537,9.38320743133613,3.43211778066257
"FV_green",95.6304329911547,132.708831953806,153.449690964651,283.139345067465,180.238818815133,193.976650632867,13.4665476466808,0,25.2732566853982,29.8306306380836,16.8677155837861,22.8497550780169,16.8986654273433
"FV_red",70.3571763057565,107.435575268408,128.176434279252,257.866088382066,154.965562129735,168.703393947469,11.8067090387174,25.2732566853982,0,4.55737395268546,8.40554110161205,2.4235016073813,8.37459125805486
"int_blue",65.7998023530711,102.878201315723,123.619060326567,253.308714429381,150.408188177049,164.146019994783,16.3640829914029,29.8306306380836,4.55737395268546,0,12.9629150542975,6.98087556006676,12.9319652107403
"int_green",78.7627174073686,115.84111637002,136.581975380864,266.271629483679,163.371103231347,177.108935049081,3.40116793710537,16.8677155837861,8.40554110161205,12.9629150542975,0,5.98203949423075,0.0309498435571953
"int_red",72.7806779131378,109.859076875789,130.599935886634,260.289589989448,157.389063737116,171.12689555485,9.38320743133613,22.8497550780169,2.4235016073813,6.98087556006676,5.98203949423075,0,5.95108965067356
"int_white",78.7317675638114,115.810166526463,136.551025537307,266.240679640121,163.34015338779,177.077985205524,3.43211778066257,16.8986654273433,8.37459125805486,12.9319652107403,0.0309498435571953,5.95108965067356,0
