"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,3.97416472666234,2.15490792660855,5.26925637401783,4.20525554559194,5.45727702849438,2.22257591458047,3.23854841005675,3.58068250514505,2.2823860902008,1.17583439968094,0.77186095996907,1.87062232442578
"conf_green",3.97416472666234,0,1.81925680005379,1.29509164735548,0.231090818929595,1.48311230183204,6.19674064124281,7.2127131367191,7.55484723180739,6.25655081686314,2.7983303269814,3.20230376669327,2.10354240223657
"conf_red",2.15490792660855,1.81925680005379,0,3.11434844740928,2.05034761898339,3.30236910188583,4.37748384118902,5.3934563366653,5.7355904317536,4.43729401680935,0.979073526927605,1.38304696663948,0.284285602182773
"fusion_blue",5.26925637401783,1.29509164735548,3.11434844740928,0,1.06400082842589,0.188020654476553,7.4918322885983,8.50780478407458,8.84993887916287,7.55164246421863,4.09342197433688,4.49739541404876,3.39863404959205
"fusion_green",4.20525554559194,0.231090818929595,2.05034761898339,1.06400082842589,0,1.25202148290244,6.42783146017241,7.44380395564869,7.78593805073699,6.48764163579274,3.02942114591099,3.43339458562287,2.33463322116616
"fusion_red",5.45727702849438,1.48311230183204,3.30236910188583,0.188020654476553,1.25202148290244,0,7.67985294307485,8.69582543855113,9.03795953363943,7.73966311869518,4.28144262881344,4.68541606852531,3.5866547040686
"FV_blue",2.22257591458047,6.19674064124281,4.37748384118902,7.4918322885983,6.42783146017241,7.67985294307485,0,1.01597249547628,1.35810659056458,0.0598101756203295,3.39841031426142,2.99443687454954,4.09319823900625
"FV_green",3.23854841005675,7.2127131367191,5.3934563366653,8.50780478407458,7.44380395564869,8.69582543855113,1.01597249547628,0,0.342134095088294,0.956162319855952,4.4143828097377,4.01040937002582,5.10917073448253
"FV_red",3.58068250514505,7.55484723180739,5.7355904317536,8.84993887916287,7.78593805073699,9.03795953363943,1.35810659056458,0.342134095088294,0,1.29829641494425,4.75651690482599,4.35254346511412,5.45130482957082
"int_blue",2.2823860902008,6.25655081686314,4.43729401680935,7.55164246421863,6.48764163579274,7.73966311869518,0.0598101756203295,0.956162319855952,1.29829641494425,0,3.45822048988174,3.05424705016987,4.15300841462658
"int_green",1.17583439968094,2.7983303269814,0.979073526927605,4.09342197433688,3.02942114591099,4.28144262881344,3.39841031426142,4.4143828097377,4.75651690482599,3.45822048988174,0,0.403973439711875,0.694787924744833
"int_red",0.77186095996907,3.20230376669327,1.38304696663948,4.49739541404876,3.43339458562287,4.68541606852531,2.99443687454954,4.01040937002582,4.35254346511412,3.05424705016987,0.403973439711875,0,1.09876136445671
"int_white",1.87062232442578,2.10354240223657,0.284285602182773,3.39863404959205,2.33463322116616,3.5866547040686,4.09319823900625,5.10917073448253,5.45130482957082,4.15300841462658,0.694787924744833,1.09876136445671,0
