"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_blue_5x5.mnt",21.8551736,8.65118865089138,13.2039849491086,2.52626251512249,152.626251512249,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,13.2039849491086,152.626251512249,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_green_5x5.mnt",22.21505087,8.65118865089138,13.5638622191086,2.56786110746886,156.786110746886,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,13.5638622191086,156.786110746886,"conf","green","conf_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_red_5x5.mnt",22.31402269,8.65118865089138,13.6628340391086,2.57930136429297,157.930136429297,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,13.6628340391086,157.930136429297,"conf","red","conf_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_blue_5x5.mnt",22.78634957,8.65118865089138,14.1351609191086,2.63389812539254,163.389812539254,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,14.1351609191086,163.389812539254,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_green_5x5.mnt",23.11249579,8.65118865089138,14.4613071391086,2.67159771017346,167.159771017346,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,14.4613071391086,167.159771017346,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_red_5x5.mnt",23.79351152,8.65118865089138,15.1423228691086,2.75031703505257,175.031703505257,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,15.1423228691086,175.031703505257,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_blue_5x5.mnt",20.96108042,8.65118865089138,12.3098917691086,2.42291334357161,142.291334357161,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,12.3098917691086,142.291334357161,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_green_5x5.mnt",20.77455312,8.65118865089138,12.1233644691086,2.40135245667767,140.135245667767,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,12.1233644691086,140.135245667767,"FV","green","FV_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_red_5x5.mnt",20.77938262,8.65118865089138,12.1281939691086,2.40191070366486,140.191070366486,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,12.1281939691086,140.191070366486,"FV","red","FV_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_blue_5x5.mnt",25.31202328,8.65118865089138,16.6608346291086,2.92584340735558,192.584340735558,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,16.6608346291086,192.584340735558,"int","blue","int_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_green_5x5.mnt",20.28886293,8.65118865089138,11.6376742791086,2.34521101651269,134.521101651269,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,11.6376742791086,134.521101651269,"int","green","int_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_red_5x5.mnt",21.25518956,8.65118865089138,12.6040009091086,2.45690972856198,145.690972856198,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,12.6040009091086,145.690972856198,"int","red","int_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_white_5x5.mnt",21.35854806,8.65118865089138,12.7073594091086,2.46885704634349,146.885704634349,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,1.40661606335733,0.314528913591014,12.7073594091086,146.885704634349,"int","white","int_white"
