"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_blue_5x5.mnt",11.54799651,12.5169834628033,-0.968986952803302,0.92258622409442,-7.74137759055797,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.968986952803302,7.74137759055797,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_green_5x5.mnt",11.51231748,12.5169834628033,-1.0046659828033,0.919735774534746,-8.02642254652542,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,1.0046659828033,8.02642254652542,"conf","green","conf_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_red_5x5.mnt",11.76002406,12.5169834628033,-0.756959402803304,0.939525413207363,-6.04745867926373,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.756959402803304,6.04745867926373,"conf","red","conf_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_blue_5x5.mnt",12.48370774,12.5169834628033,-0.0332757228033032,0.997341554145039,-0.265844585496087,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.0332757228033032,0.265844585496087,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_green_5x5.mnt",12.74498311,12.5169834628033,0.227999647196697,1.01821522317052,1.82152231705221,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.227999647196697,1.82152231705221,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_red_5x5.mnt",13.86269031,12.5169834628033,1.3457068471967,1.10751047576245,10.751047576245,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,1.3457068471967,10.751047576245,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_blue_5x5.mnt",9.893936458,12.5169834628033,-2.6230470048033,0.79044096266499,-20.955903733501,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,2.6230470048033,20.955903733501,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_green_5x5.mnt",9.516759742,12.5169834628033,-3.0002237208033,0.760307766666061,-23.9692233333939,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,3.0002237208033,23.9692233333939,"FV","green","FV_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_red_5x5.mnt",9.447362579,12.5169834628033,-3.0696208838033,0.754763526457849,-24.5236473542151,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,3.0696208838033,24.5236473542151,"FV","red","FV_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_blue_5x5.mnt",4.670576174,12.5169834628033,-7.8464072888033,0.373139118373012,-62.6860881626988,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,7.8464072888033,62.6860881626988,"int","blue","int_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_green_5x5.mnt",11.63230466,12.5169834628033,-0.884678802803302,0.929321724724467,-7.06782752755327,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.884678802803302,7.06782752755327,"int","green","int_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_red_5x5.mnt",11.33201856,12.5169834628033,-1.1849649028033,0.90533143178429,-9.46685682157096,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,1.1849649028033,9.46685682157096,"int","red","int_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_white_5x5.mnt",11.6306074,12.5169834628033,-0.886376062803302,0.929186128156409,-7.08138718435911,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,1.76532343044068,0.394738319273848,0.886376062803302,7.08138718435911,"int","white","int_white"
