"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,44.3852368527976,76.1620676048608,16.1282957417225,84.7537405863151,180.887044047768,25.1530908303497,31.0142760461628,5.19861257721348,41.7110083410428,27.4456243099156,30.6905053096615,27.7839247372625
"conf_green",44.3852368527976,0,31.7768307520632,28.256941111075,40.3685037335175,136.50180719497,69.5383276831473,75.3995128989604,49.5838494300111,86.0962451938404,71.8308611627132,75.0757421624591,72.1691615900601
"conf_red",76.1620676048608,31.7768307520632,0,60.0337718631383,8.59167298145429,104.724976442907,101.315158435211,107.176343651024,81.3606801820743,117.873075945904,103.607691914776,106.852572914522,103.945992342123
"fusion_blue",16.1282957417225,28.256941111075,60.0337718631383,0,68.6254448445926,164.758748306045,41.2813865720723,47.1425717878853,21.326908318936,57.8393040827653,43.5739200516382,46.8188010513841,43.9122204789851
"fusion_green",84.7537405863151,40.3685037335175,8.59167298145429,68.6254448445926,0,96.1333034614528,109.906831416665,115.768016632478,89.9523531635286,126.464748927358,112.199364896231,115.444245895977,112.537665323578
"fusion_red",180.887044047768,136.50180719497,104.724976442907,164.758748306045,96.1333034614528,0,206.040134878118,211.901320093931,186.085656624981,222.598052388811,208.332668357684,211.577549357429,208.67096878503
"FV_blue",25.1530908303497,69.5383276831473,101.315158435211,41.2813865720723,109.906831416665,206.040134878118,0,5.86118521581308,19.9544782531362,16.5579175106931,2.29253347956592,5.53741447931181,2.63083390691284
"FV_green",31.0142760461628,75.3995128989604,107.176343651024,47.1425717878853,115.768016632478,211.901320093931,5.86118521581308,0,25.8156634689493,10.69673229488,3.56865173624716,0.32377073650127,3.23035130890024
"FV_red",5.19861257721348,49.5838494300111,81.3606801820743,21.326908318936,89.9523531635286,186.085656624981,19.9544782531362,25.8156634689493,0,36.5123957638293,22.2470117327021,25.491892732448,22.5853121600491
"int_blue",41.7110083410428,86.0962451938404,117.873075945904,57.8393040827653,126.464748927358,222.598052388811,16.5579175106931,10.69673229488,36.5123957638293,0,14.2653840311271,11.0205030313813,13.9270836037802
"int_green",27.4456243099156,71.8308611627132,103.607691914776,43.5739200516382,112.199364896231,208.332668357684,2.29253347956592,3.56865173624716,22.2470117327021,14.2653840311271,0,3.24488099974589,0.338300427346917
"int_red",30.6905053096615,75.0757421624591,106.852572914522,46.8188010513841,115.444245895977,211.577549357429,5.53741447931181,0.32377073650127,25.491892732448,11.0205030313813,3.24488099974589,0,2.90658057239897
"int_white",27.7839247372625,72.1691615900601,103.945992342123,43.9122204789851,112.537665323578,208.67096878503,2.63083390691284,3.23035130890024,22.5853121600491,13.9270836037802,0.338300427346917,2.90658057239897,0
