"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_blue_5x5.mnt",7.179442511,8.67836414549384,-1.49892163449384,0.827280624624153,-17.2719375375847,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,1.49892163449384,17.2719375375847,"conf","blue","conf_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_green_5x5.mnt",8.459863474,8.67836414549384,-0.218500671493839,0.974822366539287,-2.51776334607131,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,0.218500671493839,2.51776334607131,"conf","green","conf_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_red_5x5.mnt",9.186670037,8.67836414549384,0.508305891506161,1.05857162513399,5.85716251339942,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,0.508305891506161,5.85716251339942,"conf","red","conf_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_blue_5x5.mnt",9.513361326,8.67836414549384,0.834997180506161,1.09621596495691,9.62159649569124,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,0.834997180506161,9.62159649569124,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_green_5x5.mnt",10.73694167,8.67836414549384,2.05857752450616,1.23720801409043,23.7208014090427,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,2.05857752450616,23.7208014090427,"fusion","green","fusion_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_red_5x5.mnt",11.48666508,8.67836414549384,2.80830093450616,1.32359796010223,32.3597960102232,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,2.80830093450616,32.3597960102232,"fusion","red","fusion_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_blue_5x5.mnt",8.129199168,8.67836414549384,-0.54916497749384,0.936720219584357,-6.3279780415643,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,0.54916497749384,6.3279780415643,"FV","blue","FV_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_green_5x5.mnt",9.104621263,8.67836414549384,0.426257117506161,1.04911721960037,4.91172196003657,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,0.426257117506161,4.91172196003657,"FV","green","FV_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_red_5x5.mnt",11.5869663,8.67836414549384,2.90860215450616,1.33515557837204,33.515557837204,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,2.90860215450616,33.515557837204,"FV","red","FV_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_blue_5x5.mnt",5.841897516,8.67836414549384,-2.83646662949384,0.673156532505421,-32.6843467494579,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,2.83646662949384,32.6843467494579,"int","blue","int_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_green_5x5.mnt",7.011262432,8.67836414549384,-1.66710171349384,0.807901387226363,-19.2098612773637,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,1.66710171349384,19.2098612773637,"int","green","int_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_red_5x5.mnt",6.765726153,8.67836414549384,-1.91263799249384,0.779608465325005,-22.0391534674995,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,1.91263799249384,22.0391534674995,"int","red","int_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_white_5x5.mnt",7.014909321,8.67836414549384,-1.66345482449384,0.80832161492583,-19.167838507417,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.763119472248721,0.17063870149019,1.66345482449384,19.167838507417,"int","white","int_white"
