"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,15.8074591741144,32.0983637406277,32.1400412588877,36.2329316858789,55.9478666615659,15.3246895127628,11.415508808535,0.778264318577222,7.85906312475431,21.3703391887436,14.7257854583927,23.2755229486992
"conf_green",15.8074591741144,0,16.2909045665133,16.3325820847733,20.4254725117646,40.1404074874515,0.482769661351547,27.2229679826493,15.0291948555372,23.6665222988687,37.1777983628579,30.533244632507,39.0829821228136
"conf_red",32.0983637406277,16.2909045665133,0,0.0416775182599451,4.13456794525122,23.8495029209382,16.7736742278649,43.5138725491627,31.3200994220505,39.957426865382,53.4687029293713,46.8241491990204,55.373886689327
"fusion_blue",32.1400412588877,16.3325820847733,0.0416775182599451,0,4.09289042699127,23.8078254026782,16.8153517461248,43.5555500674226,31.3617769403104,39.999104383642,53.5103804476312,46.8658267172803,55.4155642075869
"fusion_green",36.2329316858789,20.4254725117646,4.13456794525122,4.09289042699127,0,19.714934975687,20.9082421731161,47.6484404944139,35.4546673673017,44.0919948106333,57.6032708746225,50.9587171442716,59.5084546345782
"fusion_red",55.9478666615659,40.1404074874515,23.8495029209382,23.8078254026782,19.714934975687,0,40.6231771488031,67.3633754701009,55.1696023429887,63.8069297863202,77.3182058503095,70.6736521199586,79.2233896102651
"FV_blue",15.3246895127628,0.482769661351547,16.7736742278649,16.8153517461248,20.9082421731161,40.6231771488031,0,26.7401983212978,14.5464251941856,23.1837526375172,36.6950287015064,30.0504749711555,38.6002124614621
"FV_green",11.415508808535,27.2229679826493,43.5138725491627,43.5555500674226,47.6484404944139,67.3633754701009,26.7401983212978,0,12.1937731271122,3.55644568378064,9.95483038020861,3.3102766498577,11.8600141401643
"FV_red",0.778264318577222,15.0291948555372,31.3200994220505,31.3617769403104,35.4546673673017,55.1696023429887,14.5464251941856,12.1937731271122,0,8.63732744333154,22.1486035073208,15.5040497769699,24.0537872672765
"int_blue",7.85906312475431,23.6665222988687,39.957426865382,39.999104383642,44.0919948106333,63.8069297863202,23.1837526375172,3.55644568378064,8.63732744333154,0,13.5112760639892,6.86672233363834,15.4164598239449
"int_green",21.3703391887436,37.1777983628579,53.4687029293713,53.5103804476312,57.6032708746225,77.3182058503095,36.6950287015064,9.95483038020861,22.1486035073208,13.5112760639892,0,6.64455373035091,1.90518375995567
"int_red",14.7257854583927,30.533244632507,46.8241491990204,46.8658267172803,50.9587171442716,70.6736521199586,30.0504749711555,3.3102766498577,15.5040497769699,6.86672233363834,6.64455373035091,0,8.54973749030658
"int_white",23.2755229486992,39.0829821228136,55.373886689327,55.4155642075869,59.5084546345782,79.2233896102651,38.6002124614621,11.8600141401643,24.0537872672765,15.4164598239449,1.90518375995567,8.54973749030658,0
