"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,17.9396177473372,52.3402407757143,103.700143679464,80.361758259129,121.380488739796,39.8160865601148,66.3910104572961,44.2516108394287,41.4976474100907,57.5291572703005,48.3845191014848,57.5048664501647
"conf_green",17.9396177473372,0,34.4006230283771,85.7605259321272,62.4221405117917,103.440870992459,57.755704307452,84.3306282046334,62.1912285867659,59.437265157428,75.4687750176377,66.324136848822,75.444484197502
"conf_red",52.3402407757143,34.4006230283771,0,51.3599029037502,28.0215174834147,69.0402479640818,92.1563273358291,118.73125123301,96.591851615143,93.837888185805,109.869398046015,100.724759877199,109.845107225879
"fusion_blue",103.700143679464,85.7605259321272,51.3599029037502,0,23.3383854203355,17.6803450603317,143.516230239579,170.091154136761,147.951754518893,145.197791089555,161.229300949765,152.084662780949,161.205010129629
"fusion_green",80.361758259129,62.4221405117917,28.0215174834147,23.3383854203355,0,41.0187304806672,120.177844819244,146.752768716425,124.613369098558,121.85940566922,137.890915529429,128.746277360614,137.866624709294
"fusion_red",121.380488739796,103.440870992459,69.0402479640818,17.6803450603317,41.0187304806672,0,161.196575299911,187.771499197092,165.632099579225,162.878136149887,178.909646010097,169.765007841281,178.885355189961
"FV_blue",39.8160865601148,57.755704307452,92.1563273358291,143.516230239579,120.177844819244,161.196575299911,0,26.5749238971813,4.43552427931387,1.68156084997593,17.7130707101857,8.56843254136997,17.6887798900499
"FV_green",66.3910104572961,84.3306282046334,118.73125123301,170.091154136761,146.752768716425,187.771499197092,26.5749238971813,0,22.1393996178675,24.8933630472054,8.86185318699565,18.0064913558114,8.8861440071314
"FV_red",44.2516108394287,62.1912285867659,96.591851615143,147.951754518893,124.613369098558,165.632099579225,4.43552427931387,22.1393996178675,0,2.75396342933794,13.2775464308718,4.13290826205609,13.2532556107361
"int_blue",41.4976474100907,59.437265157428,93.837888185805,145.197791089555,121.85940566922,162.878136149887,1.68156084997593,24.8933630472054,2.75396342933794,0,16.0315098602098,6.88687169139403,16.007219040074
"int_green",57.5291572703005,75.4687750176377,109.869398046015,161.229300949765,137.890915529429,178.909646010097,17.7130707101857,8.86185318699565,13.2775464308718,16.0315098602098,0,9.14463816881572,0.0242908201357519
"int_red",48.3845191014848,66.324136848822,100.724759877199,152.084662780949,128.746277360614,169.765007841281,8.56843254136997,18.0064913558114,4.13290826205609,6.88687169139403,9.14463816881572,0,9.12034734867997
"int_white",57.5048664501647,75.444484197502,109.845107225879,161.205010129629,137.866624709294,178.885355189961,17.6887798900499,8.8861440071314,13.2532556107361,16.007219040074,0.0242908201357519,9.12034734867997,0
