"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_blue_5x5.mnt",0.5643543085,0.162427298896358,0.401927009603642,3.47450405402668,247.450405402668,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.401927009603642,247.450405402668,"conf","blue","conf_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_green_5x5.mnt",0.5786647451,0.162427298896358,0.416237446203642,3.56260769606983,256.260769606983,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.416237446203642,256.260769606983,"conf","green","conf_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_red_5x5.mnt",0.7264785632,0.162427298896358,0.564051264303642,4.47263833195646,347.263833195646,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.564051264303642,347.263833195646,"conf","red","conf_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_blue_5x5.mnt",0.698655282,0.162427298896358,0.536227983103642,4.30134150322723,330.134150322723,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.536227983103642,330.134150322723,"fusion","blue","fusion_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_green_5x5.mnt",0.7027123135,0.162427298896358,0.540285014603642,4.32631902564844,332.631902564844,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.540285014603642,332.631902564844,"fusion","green","fusion_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_red_5x5.mnt",0.9080868504,0.162427298896358,0.745659551503642,5.59072801536541,459.072801536541,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.745659551503642,459.072801536541,"fusion","red","fusion_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_blue_5x5.mnt",0.9640124609,0.162427298896358,0.801585162003642,5.93503966051371,493.503966051371,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.801585162003642,493.503966051371,"FV","blue","FV_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_green_5x5.mnt",0.4586971068,0.162427298896358,0.296269807903642,2.8240148664461,182.40148664461,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.296269807903642,182.40148664461,"FV","green","FV_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_red_5x5.mnt",0.4830655947,0.162427298896358,0.320638295803642,2.97404191279592,197.404191279592,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.320638295803642,197.404191279592,"FV","red","FV_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_blue_5x5.mnt",0.7495573173,0.162427298896358,0.587130018403642,4.61472500246574,361.472500246574,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.587130018403642,361.472500246574,"int","blue","int_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_green_5x5.mnt",0.2545147602,0.162427298896358,0.0920874613036419,1.56694571620255,56.6945716202553,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.0920874613036419,56.6945716202553,"int","green","int_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_red_5x5.mnt",1.704921317,0.162427298896358,1.54249401810364,10.4965195418775,949.651954187749,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,1.54249401810364,949.651954187749,"int","red","int_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_white_5x5.mnt",0.191834103,0.162427298896358,0.0294068041036419,1.18104594673095,18.1045946730948,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.0117594268064601,0.00262948777156781,0.0294068041036419,18.1045946730948,"int","white","int_white"
