"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,3.46444445045569,3.73773567643844,9.56965984421964,12.5714356494446,72.7402448223321,0.921376979620476,12.9166804603696,12.6769637414588,57.2447901141424,4.65637504679856,6.85442051336932,6.95641430552216
"conf_green",3.46444445045569,0,0.273291225982749,6.10521539376395,9.10699119898894,69.2758003718764,2.54306747083522,9.4522360099139,9.2125192910031,53.7803456636868,8.12081949725425,10.318864963825,10.4208587559779
"conf_red",3.73773567643844,0.273291225982749,0,5.8319241677812,8.83369997300619,69.0025091458936,2.81635869681797,9.17894478393115,8.93922806502035,53.507054437704,8.394110723237,10.5921561898078,10.6941499819606
"fusion_blue",9.56965984421964,6.10521539376395,5.8319241677812,0,3.00177580522499,63.1705849781124,8.64828286459917,3.34702061614995,3.10730389723915,47.6751302699228,14.2260348910182,16.424080357589,16.5260741497418
"fusion_green",12.5714356494446,9.10699119898894,8.83369997300619,3.00177580522499,0,60.1688091728874,11.6500586698242,0.345244810924957,0.105528092014154,44.6733544646978,17.2278106962432,19.425856162814,19.5278499549668
"fusion_red",72.7402448223321,69.2758003718764,69.0025091458936,63.1705849781124,60.1688091728874,0,71.8188678427116,59.8235643619625,60.0632810808733,15.4954547081896,77.3966198691306,79.5946653357014,79.6966591278542
"FV_blue",0.921376979620476,2.54306747083522,2.81635869681797,8.64828286459917,11.6500586698242,71.8188678427116,0,11.9953034807491,11.7555867618383,56.323413134522,5.57775202641903,7.7757974929898,7.87779128514264
"FV_green",12.9166804603696,9.4522360099139,9.17894478393115,3.34702061614995,0.345244810924957,59.8235643619625,11.9953034807491,0,0.239716718910802,44.3281096537729,17.5730555071681,19.7711009737389,19.8730947658918
"FV_red",12.6769637414588,9.2125192910031,8.93922806502035,3.10730389723915,0.105528092014154,60.0632810808733,11.7555867618383,0.239716718910802,0,44.5678263726837,17.3333387882574,19.5313842548281,19.633378046981
"int_blue",57.2447901141424,53.7803456636868,53.507054437704,47.6751302699228,44.6733544646978,15.4954547081896,56.323413134522,44.3281096537729,44.5678263726837,0,61.901165160941,64.0992106275118,64.2012044196646
"int_green",4.65637504679856,8.12081949725425,8.394110723237,14.2260348910182,17.2278106962432,77.3966198691306,5.57775202641903,17.5730555071681,17.3333387882574,61.901165160941,0,2.19804546657076,2.3000392587236
"int_red",6.85442051336932,10.318864963825,10.5921561898078,16.424080357589,19.425856162814,79.5946653357014,7.7757974929898,19.7711009737389,19.5313842548281,64.0992106275118,2.19804546657076,0,0.101993792152841
"int_white",6.95641430552216,10.4208587559779,10.6941499819606,16.5260741497418,19.5278499549668,79.6966591278542,7.87779128514264,19.8730947658918,19.633378046981,64.2012044196646,2.3000392587236,0.101993792152841,0
