"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_conf_blue_5x5.mnt",11.04122633,8.64651817188079,2.39470815811921,1.27695635520746,27.6956355207465,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,2.39470815811921,27.6956355207465,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_conf_green_5x5.mnt",11.50876692,8.64651817188079,2.86224874811921,1.33102905599938,33.1029055999383,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,2.86224874811921,33.1029055999383,"conf","green","conf_green"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_conf_red_5x5.mnt",11.85974415,8.64651817188079,3.21322597811921,1.37162079744063,37.1620797440627,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,3.21322597811921,37.1620797440627,"conf","red","conf_red"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_fusion_blue_5x5.mnt",12.07449158,8.64651817188079,3.42797340811921,1.39645708711598,39.6457087115976,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,3.42797340811921,39.6457087115976,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_fusion_green_5x5.mnt",12.40317923,8.64651817188079,3.75666105811921,1.43447096084713,43.447096084713,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,3.75666105811921,43.447096084713,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_fusion_red_5x5.mnt",13.33669773,8.64651817188079,4.69017955811921,1.54243563303574,54.2435633035743,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,4.69017955811921,54.2435633035743,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_FV_blue_5x5.mnt",9.264444373,8.64651817188079,0.617926201119213,1.07146532151274,7.14653215127404,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,0.617926201119213,7.14653215127404,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_FV_green_5x5.mnt",8.743266303,8.64651817188079,0.0967481311192131,1.01118925898217,1.118925898217,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,0.0967481311192131,1.118925898217,"FV","green","FV_green"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_FV_red_5x5.mnt",8.806269986,8.64651817188079,0.159751814119213,1.01847585478265,1.84758547826499,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,0.159751814119213,1.84758547826499,"FV","red","FV_red"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_int_blue_5x5.mnt",3.137995343,8.64651817188079,-5.50852282888079,0.362920111959636,-63.7079888040364,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,5.50852282888079,63.7079888040364,"int","blue","int_blue"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_int_green_5x5.mnt",10.62767926,8.64651817188079,1.98116108811921,1.22912819342266,22.9128193422656,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,1.98116108811921,22.9128193422656,"int","green","int_green"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_int_red_5x5.mnt",10.37190092,8.64651817188079,1.72538274811921,1.19954653582182,19.9546535821818,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,1.72538274811921,19.9546535821818,"int","red","int_red"
"P3_ELLOR\ELLOR_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MR_x10_int_white_5x5.mnt",10.5917313,8.64651817188079,1.94521312811921,1.22497068640244,22.4970686402442,"ELLOR_MR.xlsx","ELLOR_MR.xlsx",20,0.684921132641197,0.153153021181187,1.94521312811921,22.4970686402442,"int","white","int_white"
