"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_blue_5x5.mnt",19.48996553,19.4052041780199,0.0847613519800916,1.00436797011784,0.436797011783571,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.0847613519800916,0.436797011783571,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_green_5x5.mnt",19.59141476,19.4052041780199,0.186210581980092,1.00959590944119,0.959590944119056,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.186210581980092,0.959590944119056,"conf","green","conf_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_red_5x5.mnt",19.95210283,19.4052041780199,0.546898651980094,1.02818309186355,2.81830918635507,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.546898651980094,2.81830918635507,"conf","red","conf_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_blue_5x5.mnt",20.74206657,19.4052041780199,1.33686239198009,1.06889195185559,6.88919518555926,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,1.33686239198009,6.88919518555926,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_green_5x5.mnt",20.7006145,19.4052041780199,1.29541032198009,1.06675582024782,6.67558202478174,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,1.29541032198009,6.67558202478174,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_red_5x5.mnt",21.6054631,19.4052041780199,2.20025892198009,1.11338499207714,11.3384992077141,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,2.20025892198009,11.3384992077141,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_blue_5x5.mnt",18.20404047,19.4052041780199,-1.20116370801991,0.93810094977612,-6.18990502238804,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,1.20116370801991,6.18990502238804,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_green_5x5.mnt",17.83874578,19.4052041780199,-1.56645839801991,0.919276376396275,-8.07236236037248,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,1.56645839801991,8.07236236037248,"FV","green","FV_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_red_5x5.mnt",17.89461682,19.4052041780199,-1.51058735801991,0.922155554553199,-7.78444454468011,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,1.51058735801991,7.78444454468011,"FV","red","FV_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_blue_5x5.mnt",9.807377038,19.4052041780199,-9.59782714001991,0.505399322162697,-49.4600677837303,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,9.59782714001991,49.4600677837303,"int","blue","int_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_green_5x5.mnt",19.82307934,19.4052041780199,0.417875161980092,1.02153418011718,2.15341801171778,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.417875161980092,2.15341801171778,"int","green","int_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_red_5x5.mnt",19.5475556,19.4052041780199,0.142351421980091,1.00733573430479,0.733573430478673,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.142351421980091,0.733573430478673,"int","red","int_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_white_5x5.mnt",20.00504051,19.4052041780199,0.599836331980093,1.03091110644739,3.09111064473891,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.1526920490658,0.257749777883466,0.599836331980093,3.09111064473891,"int","white","int_white"
