"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_blue_5x5.mnt",11.97642374,8.51374400849647,3.46267973150353,1.40671644907903,40.6716449079027,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,3.46267973150353,40.6716449079027,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_green_5x5.mnt",12.19761015,8.51374400849647,3.68386614150353,1.43269637163475,43.2696371634752,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,3.68386614150353,43.2696371634752,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_red_5x5.mnt",12.44504193,8.51374400849647,3.93129792150353,1.46175900022131,46.1759000221314,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,3.93129792150353,46.1759000221314,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_blue_5x5.mnt",13.27984116,8.51374400849647,4.76609715150353,1.559812128101,55.9812128100998,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,4.76609715150353,55.9812128100998,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_green_5x5.mnt",13.54561727,8.51374400849647,5.03187326150353,1.59102942917732,59.1029429177324,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,5.03187326150353,59.1029429177324,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_red_5x5.mnt",14.2735433,8.51374400849647,5.75979929150353,1.67652953691765,67.6529536917649,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,5.75979929150353,67.6529536917649,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_blue_5x5.mnt",10.7211498,8.51374400849647,2.20740579150353,1.25927556540349,25.9275565403494,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,2.20740579150353,25.9275565403494,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_green_5x5.mnt",10.01602219,8.51374400849647,1.50227818150353,1.17645329481416,17.6453294814162,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,1.50227818150353,17.6453294814162,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_red_5x5.mnt",10.14790685,8.51374400849647,1.63416284150353,1.19194408944792,19.1944089447919,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,1.63416284150353,19.1944089447919,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_green_5x5.mnt",11.17389744,8.51374400849647,2.66015343150353,1.31245400717343,31.2454007173433,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,2.66015343150353,31.2454007173433,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_red_5x5.mnt",12.05049749,8.51374400849647,3.53675348150353,1.4154169397123,41.54169397123,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,3.53675348150353,41.54169397123,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_white_5x5.mnt",11.64378569,8.51374400849647,3.13004168150353,1.36764573592768,36.7645735927676,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,3.13004168150353,36.7645735927676,"int","white","int_white"
NA,NA,8.51374400849647,NA,NA,NA,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,1.02440235412009,0.229063330012334,NA,NA,"other","unknown","other_unknown"
