"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_blue_5x5.mnt",12.00139118,10.0026228016089,1.99876837839105,1.19982442785602,19.9824427856016,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,1.99876837839105,19.9824427856016,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_green_5x5.mnt",12.53215474,10.0026228016089,2.52953193839105,1.25288686663104,25.2886866631037,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,2.52953193839105,25.2886866631037,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_red_5x5.mnt",12.75596065,10.0026228016089,2.75333784839105,1.27526158918521,27.5261589185206,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,2.75333784839105,27.5261589185206,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_blue_5x5.mnt",12.96140761,10.0026228016089,2.95878480839105,1.29580089813195,29.580089813195,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,2.95878480839105,29.580089813195,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_green_5x5.mnt",13.33139301,10.0026228016089,3.32877020839105,1.33278973669342,33.2789736693421,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,3.32877020839105,33.2789736693421,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_red_5x5.mnt",13.97193723,10.0026228016089,3.96931442839105,1.39682736289452,39.6827362894518,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,3.96931442839105,39.6827362894518,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_blue_5x5.mnt",10.62310048,10.0026228016089,0.620477678391051,1.06203149820777,6.20314982077746,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,0.620477678391051,6.20314982077746,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_green_5x5.mnt",10.06290253,10.0026228016089,0.0602797283910519,1.00602639223598,0.602639223597992,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,0.0602797283910519,0.602639223597992,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_red_5x5.mnt",10.2161111,10.0026228016089,0.21348829839105,1.0213432319328,2.13432319327997,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,0.21348829839105,2.13432319327997,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_blue_5x5.mnt",20.43662992,10.0026228016089,10.4340071183911,2.04312712029016,104.312712029016,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,10.4340071183911,104.312712029016,"int","blue","int_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_green_5x5.mnt",10.56102395,10.0026228016089,0.55840114839105,1.05582547292508,5.58254729250842,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,0.55840114839105,5.58254729250842,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_red_5x5.mnt",12.95769866,10.0026228016089,2.95507585839105,1.29543010038484,29.5430100384843,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,2.95507585839105,29.5430100384843,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_white_5x5.mnt",12.29660126,10.0026228016089,2.29397845839105,1.22933769511153,22.9337695111532,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.559950187639454,0.125208668357558,2.29397845839105,22.9337695111532,"int","white","int_white"
