"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_blue_5x5.mnt",6.12120098,6.04149423956169,0.079706740438314,1.01319321632658,1.31932163265783,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.079706740438314,1.31932163265783,"conf","blue","conf_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_green_5x5.mnt",7.250615942,6.04149423956169,1.20912170243831,1.20013620049831,20.0136200498312,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,1.20912170243831,20.0136200498312,"conf","green","conf_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_red_5x5.mnt",7.893983462,6.04149423956169,1.85248922243831,1.30662765683158,30.6627656831584,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,1.85248922243831,30.6627656831584,"conf","red","conf_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_blue_5x5.mnt",8.28850548,6.04149423956169,2.24701124043831,1.37192971661285,37.1929716612845,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,2.24701124043831,37.1929716612845,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_green_5x5.mnt",9.267089899,6.04149423956169,3.22559565943831,1.53390693287698,53.3906932876979,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,3.22559565943831,53.3906932876979,"fusion","green","fusion_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_red_5x5.mnt",9.874341208,6.04149423956169,3.83284696843831,1.63442036298563,63.4420362985629,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,3.83284696843831,63.4420362985629,"fusion","red","fusion_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_blue_5x5.mnt",6.606437558,6.04149423956169,0.564943318438313,1.09351052836215,9.35105283621524,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.564943318438313,9.35105283621524,"FV","blue","FV_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_green_5x5.mnt",6.944674114,6.04149423956169,0.903179874438313,1.14949610785424,14.9496107854245,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.903179874438313,14.9496107854245,"FV","green","FV_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_red_5x5.mnt",9.058098895,6.04149423956169,3.01660465543831,1.49931433116076,49.9314331160758,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,3.01660465543831,49.9314331160758,"FV","red","FV_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_blue_5x5.mnt",4.910149767,6.04149423956169,-1.13134447256169,0.812737639447991,-18.7262360552009,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,1.13134447256169,18.7262360552009,"int","blue","int_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_green_5x5.mnt",5.814373017,6.04149423956169,-0.227121222561686,0.962406448875773,-3.75935511242271,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.227121222561686,3.75935511242271,"int","green","int_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_red_5x5.mnt",5.547696556,6.04149423956169,-0.493797683561686,0.918265636946546,-8.1734363053454,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.493797683561686,8.1734363053454,"int","red","int_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_white_5x5.mnt",5.82262827,6.04149423956169,-0.218865969561686,0.963772874576544,-3.62271254234557,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.326681300038569,0.0730481593864244,0.218865969561686,3.62271254234557,"int","white","int_white"
