"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_conf_blue_5x5.mnt",1.343032002,0.384474954750331,0.958557047249669,3.49315861906306,249.315861906306,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.958557047249669,249.315861906306,"conf","blue","conf_blue"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_conf_green_5x5.mnt",1.484363752,0.384474954750331,1.09988879724967,3.86075538513012,286.075538513012,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.09988879724967,286.075538513012,"conf","green","conf_green"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_conf_red_5x5.mnt",1.737763703,0.384474954750331,1.35328874824967,4.51983589965818,351.983589965818,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.35328874824967,351.983589965818,"conf","red","conf_red"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_fusion_blue_5x5.mnt",1.758214746,0.384474954750331,1.37373979124967,4.5730280328448,357.30280328448,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.37373979124967,357.30280328448,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_fusion_green_5x5.mnt",1.874410795,0.384474954750331,1.48993584024967,4.87524810612748,387.524810612748,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.48993584024967,387.524810612748,"fusion","green","fusion_green"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_fusion_red_5x5.mnt",2.26558232,0.384474954750331,1.88110736524967,5.89266554819212,489.266554819212,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.88110736524967,489.266554819212,"fusion","red","fusion_red"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_FV_blue_5x5.mnt",1.885340894,0.384474954750331,1.50086593924967,4.90367674332466,390.367674332466,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.50086593924967,390.367674332466,"FV","blue","FV_blue"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_FV_green_5x5.mnt",1.000517848,0.384474954750331,0.616042893249669,2.60229654919841,160.229654919841,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.616042893249669,160.229654919841,"FV","green","FV_green"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_FV_red_5x5.mnt",1.135270105,0.384474954750331,0.750795150249669,2.95278038523268,195.278038523268,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.750795150249669,195.278038523268,"FV","red","FV_red"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_int_blue_5x5.mnt",0.7962596753,0.384474954750331,0.411784720549669,2.071031325869,107.1031325869,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.411784720549669,107.1031325869,"int","blue","int_blue"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_int_green_5x5.mnt",0.4937950038,0.384474954750331,0.109320049049669,1.28433594360043,28.4335943600433,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.109320049049669,28.4335943600433,"int","green","int_green"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_int_red_5x5.mnt",1.707914623,0.384474954750331,1.32343966824967,4.44219994540107,344.219994540107,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,1.32343966824967,344.219994540107,"int","red","int_red"
"P3_MO58A\Mo_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MF_x10_int_white_5x5.mnt",0.4406766278,0.384474954750331,0.056201673049669,1.14617772199535,14.6177721995351,"MO58A_MF.xlsx","MO58A_MF.xlsx",20,0.0347556653754992,0.00777160303828519,0.056201673049669,14.6177721995351,"int","white","int_white"
