"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_conf_blue_5x5.mnt",4.851503779,6.56846546520745,-1.71696168620745,0.738605356867287,-26.1394643132713,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.71696168620745,26.1394643132713,"conf","blue","conf_blue"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_conf_green_5x5.mnt",5.101512098,6.56846546520745,-1.46695336720745,0.776667263460885,-22.3332736539115,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.46695336720745,22.3332736539115,"conf","green","conf_green"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_conf_red_5x5.mnt",5.454434347,6.56846546520745,-1.11403111820745,0.830397050253462,-16.9602949746538,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.11403111820745,16.9602949746538,"conf","red","conf_red"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_fusion_blue_5x5.mnt",6.069189649,6.56846546520745,-0.49927581620745,0.923988971419266,-7.60110285807343,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,0.49927581620745,7.60110285807343,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_fusion_green_5x5.mnt",5.898911835,6.56846546520745,-0.66955363020745,0.898065441044942,-10.1934558955058,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,0.66955363020745,10.1934558955058,"fusion","green","fusion_green"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_fusion_red_5x5.mnt",6.342795185,6.56846546520745,-0.22567028020745,0.965643378746101,-3.43566212538994,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,0.22567028020745,3.43566212538994,"fusion","red","fusion_red"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_FV_blue_5x5.mnt",5.42987509,6.56846546520745,-1.13859037520745,0.826658086087465,-17.3341913912535,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.13859037520745,17.3341913912535,"FV","blue","FV_blue"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_FV_green_5x5.mnt",4.599000213,6.56846546520745,-1.96946525220745,0.700163567481701,-29.9836432518299,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.96946525220745,29.9836432518299,"FV","green","FV_green"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_FV_red_5x5.mnt",4.842504706,6.56846546520745,-1.72596075920745,0.737235314952982,-26.2764685047018,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.72596075920745,26.2764685047018,"FV","red","FV_red"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_int_blue_5x5.mnt",4.858821791,6.56846546520745,-1.70964367420745,0.739719469750846,-26.0280530249154,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.70964367420745,26.0280530249154,"int","blue","int_blue"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_int_green_5x5.mnt",4.26734443,6.56846546520745,-2.30112103520745,0.649671441922581,-35.0328558077419,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,2.30112103520745,35.0328558077419,"int","green","int_green"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_int_red_5x5.mnt",4.583625057,6.56846546520745,-1.98484040820745,0.697822814366466,-30.2177185633534,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,1.98484040820745,30.2177185633534,"int","red","int_red"
"P3_MO58A\Mo_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TR_x10_int_white_5x5.mnt",4.281084856,6.56846546520745,-2.28738060920745,0.651763319557134,-34.8236680442866,"MO58A_TR.xlsx","MO58A_TR.xlsx",20,0.188149175233735,0.0420714345733152,2.28738060920745,34.8236680442866,"int","white","int_white"
