"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_blue_5x5.mnt",3.795119914,1.70053086029435,2.09458905370565,2.23172657586649,123.172657586649,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.09458905370565,123.172657586649,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_green_5x5.mnt",4.207644995,1.70053086029435,2.50711413470565,2.47431263568583,147.431263568583,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.50711413470565,147.431263568583,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_red_5x5.mnt",4.65162797,1.70053086029435,2.95109710970565,2.73539756237934,173.539756237934,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.95109710970565,173.539756237934,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_blue_5x5.mnt",4.626391841,1.70053086029435,2.92586098070565,2.72055741475883,172.055741475883,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.92586098070565,172.055741475883,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_green_5x5.mnt",4.889995194,1.70053086029435,3.18946433370565,2.87556980480412,187.556980480412,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,3.18946433370565,187.556980480412,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_red_5x5.mnt",5.418482461,1.70053086029435,3.71795160070565,3.18634762092004,218.634762092004,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,3.71795160070565,218.634762092004,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_blue_5x5.mnt",4.217078681,1.70053086029435,2.51654782070565,2.47986013042425,147.986013042425,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.51654782070565,147.986013042425,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_green_5x5.mnt",3.408047453,1.70053086029435,1.70751659270565,2.00410797156018,100.410797156018,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,1.70751659270565,100.410797156018,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_red_5x5.mnt",3.721019374,1.70053086029435,2.02048851370565,2.1881516301068,118.81516301068,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,2.02048851370565,118.81516301068,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_blue_5x5.mnt",3.486908603,1.70053086029435,1.78637774270565,2.0504824019462,105.04824019462,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,1.78637774270565,105.04824019462,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_green_5x5.mnt",3.082786569,1.70053086029435,1.38225570870565,1.81283776788761,81.2837767887608,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,1.38225570870565,81.2837767887608,"int","green","int_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_red_5x5.mnt",3.302608798,1.70053086029435,1.60207793770565,1.94210459516644,94.2104595166444,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,1.60207793770565,94.2104595166444,"int","red","int_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_white_5x5.mnt",3.030199783,1.70053086029435,1.32966892270565,1.7819140209402,78.19140209402,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,0.244561787001546,0.0546856780434282,1.32966892270565,78.19140209402,"int","white","int_white"
