"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,21.4826416805829,41.6891973938145,38.7788269351137,59.410850308672,82.0265812297742,22.720702456522,35.0018395689307,28.2536338983391,40.5019582385575,58.3900831389389,43.8066991589055,58.8336692489948
"conf_green",21.4826416805829,0,20.2065557132316,17.2961852545308,37.9282086280891,60.5439395491913,1.23806077593906,56.4844812495136,49.736275578922,61.9845999191404,79.8727248195218,65.2893408394884,80.3163109295777
"conf_red",41.6891973938145,20.2065557132316,0,2.91037045870077,17.7216529148576,40.3373838359598,18.9684949372925,76.6910369627452,69.9428312921536,82.1911556323719,100.079280532753,85.4958965527199,100.522866642809
"fusion_blue",38.7788269351137,17.2961852545308,2.91037045870077,0,20.6320233735583,43.2477542946605,16.0581244785917,73.7806665040444,67.0324608334528,79.2807851736712,97.1689100740526,82.5855260940191,97.6124961841085
"fusion_green",59.410850308672,37.9282086280891,17.7216529148576,20.6320233735583,0,22.6157309211022,36.69014785215,94.4126898776028,87.6644842070112,99.9128085472295,117.800933447611,103.217549467577,118.244519557667
"fusion_red",82.0265812297742,60.5439395491913,40.3373838359598,43.2477542946605,22.6157309211022,0,59.3058787732522,117.028420798705,110.280215128113,122.528539468332,140.416664368713,125.83328038868,140.860250478769
"FV_blue",22.720702456522,1.23806077593906,18.9684949372925,16.0581244785917,36.69014785215,59.3058787732522,0,57.7225420254527,50.9743363548611,63.2226606950795,81.1107855954609,66.5274016154274,81.5543717055168
"FV_green",35.0018395689307,56.4844812495136,76.6910369627452,73.7806665040444,94.4126898776028,117.028420798705,57.7225420254527,0,6.7482056705916,5.50011866962675,23.3882435700081,8.80485958997471,23.8318296800641
"FV_red",28.2536338983391,49.736275578922,69.9428312921536,67.0324608334528,87.6644842070112,110.280215128113,50.9743363548611,6.7482056705916,0,12.2483243402183,30.1364492405997,15.5530652605663,30.5800353506557
"int_blue",40.5019582385575,61.9845999191404,82.1911556323719,79.2807851736712,99.9128085472295,122.528539468332,63.2226606950795,5.50011866962675,12.2483243402183,0,17.8881249003814,3.30474092034797,18.3317110104373
"int_green",58.3900831389389,79.8727248195218,100.079280532753,97.1689100740526,117.800933447611,140.416664368713,81.1107855954609,23.3882435700081,30.1364492405997,17.8881249003814,0,14.5833839800334,0.443586110055946
"int_red",43.8066991589055,65.2893408394884,85.4958965527199,82.5855260940191,103.217549467577,125.83328038868,66.5274016154274,8.80485958997471,15.5530652605663,3.30474092034797,14.5833839800334,0,15.0269700900894
"int_white",58.8336692489948,80.3163109295777,100.522866642809,97.6124961841085,118.244519557667,140.860250478769,81.5543717055168,23.8318296800641,30.5800353506557,18.3317110104373,0.443586110055946,15.0269700900894,0
