"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_blue_5x5.mnt",2.140007014,2.55114206857747,-0.411135054577465,0.838842744337356,-16.1157255662644,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.411135054577465,16.1157255662644,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_green_5x5.mnt",2.405536159,2.55114206857747,-0.145605909577466,0.942925205392949,-5.70747946070508,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.145605909577466,5.70747946070508,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_red_5x5.mnt",2.769650327,2.55114206857747,0.218508258422534,1.08565115252259,8.5651152522594,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.218508258422534,8.5651152522594,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_blue_5x5.mnt",2.486842291,2.55114206857747,-0.0642997775774656,0.974795689205455,-2.52043107945453,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.0642997775774656,2.52043107945453,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_green_5x5.mnt",2.783872797,2.55114206857747,0.232730728422534,1.09122609488867,9.12260948886734,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.232730728422534,9.12260948886734,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_red_5x5.mnt",3.173391099,2.55114206857747,0.622249030422534,1.2439099876431,24.3909987643105,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.622249030422534,24.3909987643105,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_blue_5x5.mnt",2.380564575,2.55114206857747,-0.170577493577465,0.933136811282101,-6.68631887178986,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.170577493577465,6.68631887178986,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_green_5x5.mnt",2.019069705,2.55114206857747,-0.532072363577465,0.791437580003472,-20.8562419996528,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.532072363577465,20.8562419996528,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_red_5x5.mnt",2.229504262,2.55114206857747,-0.321637806577466,0.873923992497676,-12.6076007502324,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.321637806577466,12.6076007502324,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_blue_5x5.mnt",2.728390328,2.55114206857747,0.177248259422535,1.06947800422631,6.9478004226307,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.177248259422535,6.9478004226307,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_green_5x5.mnt",1.740362056,2.55114206857747,-0.810780012577466,0.682189391737967,-31.7810608262033,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.810780012577466,31.7810608262033,"int","green","int_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_red_5x5.mnt",2.263057317,2.55114206857747,-0.288084751577466,0.887076162819069,-11.2923837180931,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.288084751577466,11.2923837180931,"int","red","int_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_white_5x5.mnt",1.734763789,2.55114206857747,-0.816378279577465,0.679994975727603,-32.0005024272397,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.133340548723536,0.0298158531102949,0.816378279577465,32.0005024272397,"int","white","int_white"
