"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_blue_5x5.mnt",4.937473726,12.1258721336178,-7.18839840761776,0.407185039689752,-59.2814960310248,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,7.18839840761776,59.2814960310248,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_green_5x5.mnt",5.873507798,12.1258721336178,-6.25236433561776,0.484378173650396,-51.5621826349604,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,6.25236433561776,51.5621826349604,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_red_5x5.mnt",6.63501215,12.1258721336178,-5.49085998361776,0.547178139179375,-45.2821860820625,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,5.49085998361776,45.2821860820625,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_blue_5x5.mnt",6.157901887,12.1258721336178,-5.96797024661776,0.5078316692725,-49.21683307275,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,5.96797024661776,49.21683307275,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_green_5x5.mnt",7.043268868,12.1258721336178,-5.08260326561776,0.580846374626799,-41.9153625373201,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,5.08260326561776,41.9153625373201,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_red_5x5.mnt",7.785361483,12.1258721336178,-4.34051065061776,0.642045487302795,-35.7954512697205,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,4.34051065061776,35.7954512697205,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_blue_5x5.mnt",4.541539423,12.1258721336178,-7.58433271061776,0.374533012797409,-62.5466987202591,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,7.58433271061776,62.5466987202591,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_green_5x5.mnt",4.494085469,12.1258721336178,-7.63178666461776,0.370619566120989,-62.9380433879011,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,7.63178666461776,62.9380433879011,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_red_5x5.mnt",5.084738559,12.1258721336178,-7.04113357461776,0.419329719377716,-58.0670280622284,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,7.04113357461776,58.0670280622284,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_blue_5x5.mnt",6.089594895,12.1258721336178,-6.03627723861776,0.502198508107076,-49.7801491892924,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,6.03627723861776,49.7801491892924,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_green_5x5.mnt",4.117679215,12.1258721336178,-8.00819291861776,0.339577984133954,-66.0422015866047,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,8.00819291861776,66.0422015866047,"int","green","int_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_red_5x5.mnt",4.30929595,12.1258721336178,-7.81657618361776,0.35538028955896,-64.461971044104,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,7.81657618361776,64.461971044104,"int","red","int_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_white_5x5.mnt",4.034093492,12.1258721336178,-8.09177864161776,0.332684812073507,-66.7315187926493,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.347503519432371,0.0777041491871202,8.09177864161776,66.7315187926493,"int","white","int_white"
