"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,31.6729842998573,58.721305845677,94.1987979560911,116.908060228356,159.477227010436,42.1185510305893,59.9491445173704,16.9687150343228,101.311084623543,78.5994485196616,80.1764155595677,77.5608440423606
"conf_green",31.6729842998573,0,27.0483215458197,62.5258136562338,85.2350759284983,127.804242710579,73.7915353304466,91.6221288172277,48.64169933418,132.984068923401,110.272432819519,111.849399859425,109.233828342218
"conf_red",58.721305845677,27.0483215458197,0,35.4774921104141,58.1867543826785,100.755921164759,100.839856876266,118.670450363047,75.6900208799998,160.03239046922,137.320754365339,138.897721405245,136.282149888038
"fusion_blue",94.1987979560911,62.5258136562338,35.4774921104141,0,22.7092622722645,65.2784290543449,136.31734898668,154.147942473461,111.167512990414,195.509882579634,172.798246475753,174.375213515659,171.759641998452
"fusion_green",116.908060228356,85.2350759284983,58.1867543826785,22.7092622722645,0,42.5691667820805,159.026611258945,176.857204745726,133.876775262678,218.219144851899,195.507508748017,197.084475787923,194.468904270716
"fusion_red",159.477227010436,127.804242710579,100.755921164759,65.2784290543449,42.5691667820805,0,201.595778041025,219.426371527806,176.445942044759,260.788311633979,238.076675530098,239.653642570004,237.038071052797
"FV_blue",42.1185510305893,73.7915353304466,100.839856876266,136.31734898668,159.026611258945,201.595778041025,0,17.8305934867811,25.1498359962665,59.192533592954,36.4808974890723,38.0578645289784,35.4422930117713
"FV_green",59.9491445173704,91.6221288172277,118.670450363047,154.147942473461,176.857204745726,219.426371527806,17.8305934867811,0,42.9804294830476,41.3619401061729,18.6503040022913,20.2272710421973,17.6116995249902
"FV_red",16.9687150343228,48.64169933418,75.6900208799998,111.167512990414,133.876775262678,176.445942044759,25.1498359962665,42.9804294830476,0,84.3423695892205,61.6307334853389,63.2077005252449,60.5921290080378
"int_blue",101.311084623543,132.984068923401,160.03239046922,195.509882579634,218.219144851899,260.788311633979,59.192533592954,41.3619401061729,84.3423695892205,0,22.7116361038816,21.1346690639756,23.7502405811827
"int_green",78.5994485196616,110.272432819519,137.320754365339,172.798246475753,195.507508748017,238.076675530098,36.4808974890723,18.6503040022913,61.6307334853389,22.7116361038816,0,1.57696703990602,1.03860447730107
"int_red",80.1764155595677,111.849399859425,138.897721405245,174.375213515659,197.084475787923,239.653642570004,38.0578645289784,20.2272710421973,63.2077005252449,21.1346690639756,1.57696703990602,0,2.61557151720708
"int_white",77.5608440423606,109.233828342218,136.282149888038,171.759641998452,194.468904270716,237.038071052797,35.4422930117713,17.6116995249902,60.5921290080378,23.7502405811827,1.03860447730107,2.61557151720708,0
